日期,时间,维度,经度,方向,距离,深度,烈度
2004.02.07,12:53:16 AM,39.88,29.21,west,0.3,8,3.5
2007.09.29,12:16:56 AM,39.75,27.75,west,0.3,7.7,3.6
1949.11.28,12:47:18 AM,40.98,30.74,south_west,0.3,10,4.7
1986.03.20,12:57:27 AM,39.08,29.54,south_west,0.3,2,0
1994.04.07,12:21:33 AM,38.74,27.39,south_west,0.3,8,0
1996.02.20,12:53:06 AM,38.25,27.13,south_west,0.3,31,0
1996.03.17,12:12:55 AM,40.71,35.38,south_west,0.3,7,0
2000.01.18,12:24:33 AM,38.84,38.18,south_west,0.3,4,0
2011.11.13,12:05:23 AM,38.9,43.58,south_west,0.3,6,3.5
2012.07.22,12:26:03 AM,37.54,36.38,south_west,0.3,10.5,5
2012.10.16,12:25:04 AM,37.31,37.12,south_west,0.3,10.8,4.5
1955.07.16,12:07:17 AM,37.65,27.26,south_east,0.3,40,6.3
1977.04.05,12:30:09 AM,37.52,29.74,south_east,0.3,0,0
1980.05.02,12:15:12 AM,39.16,28.97,south_east,0.3,10,0
1986.04.11,12:10:34 AM,40.01,43.34,south_east,0.3,33,0
1991.04.22,12:37:58 AM,38.97,28.84,south_east,0.3,2,0
1992.03.16,12:44:20 AM,37.09,28.5,south_east,0.3,10,0
1999.11.12,12:24:00 AM,40.76,31.11,south_east,0.3,10,0
1999.11.15,12:22:26 AM,40.9,31.19,south_east,0.3,5,0
2001.08.12,12:31:28 AM,40.31,33.74,south_east,0.3,14,0
2005.02.02,12:52:15 AM,37.69,44.16,south_east,0.3,7.8,0
2007.02.09,12:38:50 AM,38.41,39.02,south_east,0.3,3.1,0
2007.10.29,12:58:05 AM,37.4,36.34,south_east,0.3,8.9,3.5
2009.03.09,12:42:30 AM,39.05,32.34,south_east,0.3,5,3.7
2011.11.08,12:38:04 AM,38.82,43.66,south_east,0.3,6,3.5
2012.05.03,12:24:15 AM,39.13,29.17,south_east,0.3,5,4
2012.06.15,12:48:16 AM,37.29,42.39,south_east,0.3,3.4,4.3
2013.11.10,12:09:23 AM,40.76,30.27,south_east,0.3,13.8,3.5
2015.03.28,12:08:16 AM,37.48,36.41,south_east,0.3,7.7,4.1
1999.08.25,12:43:16 AM,40.96,30.91,south,0.3,14,0
2000.05.14,12:18:59 AM,38.6,39.92,south,0.3,0,0
2000.08.24,12:52:36 AM,37.89,27.59,south,0.3,5,0
2002.01.16,12:10:31 AM,38.45,40.34,south,0.3,5,0
2011.05.29,12:31:40 AM,39.12,29.08,south,0.3,9.9,4.6
1930.04.09,12:07:46 AM,39.7,34,north_west,0.3,30,4.9
1964.06.05,12:11:05 AM,39.13,43.19,north_west,0.3,42,4.5
1964.06.25,12:11:52 AM,39.13,43.19,north_west,0.3,42,4.6
1967.06.22,12:24:42 AM,40.88,33.7,north_west,0.3,33,4.5
1970.04.05,12:29:48 AM,39.31,29.18,north_west,0.3,10,4.3
1976.05.23,12:53:50 AM,39.31,29.18,north_west,0.3,0,3.6
1983.11.29,12:30:54 AM,39.43,28.18,north_west,0.3,9,0
1986.10.30,12:46:46 AM,39.74,28.78,north_west,0.3,8,4.2
1989.06.10,12:08:33 AM,38.38,27.13,north_west,0.3,9,0
1995.09.20,12:39:55 AM,38.53,30.17,north_west,0.3,6,0
1995.10.27,12:10:46 AM,39.74,38.24,north_west,0.3,8,0
1999.10.23,12:33:28 AM,40.88,31.08,north_west,0.3,8,0
2002.07.22,12:40:52 AM,38.17,38.69,north_west,0.3,6,0
2003.05.06,12:42:01 AM,38.42,39.25,north_west,0.3,10,0
2007.08.27,12:01:06 AM,39.5,37.49,north_west,0.3,3.7,0
2009.11.22,12:01:47 AM,41.32,33.57,north_west,0.3,5,4.5
2015.03.24,12:09:51 AM,39.33,27.49,north_west,0.3,4.5,3.5
2016.09.04,12:15:41 AM,39.3,36.32,north_west,0.3,2.5,4.1
1964.10.20,12:47:56 AM,40,28.6,north_east,0.3,10,4.9
1970.03.30,12:32:36 AM,39.09,29.59,north_east,0.3,30,5.1
1970.04.30,12:59:09 AM,39.09,29.59,north_east,0.3,29,4.6
1971.05.14,12:51:08 AM,37.47,29.55,north_east,0.3,8,4.6
1974.11.05,12:00:40 AM,39.16,29.3,north_east,0.3,16,0
1977.06.21,12:31:45 AM,39.48,27.63,north_east,0.3,10,4.1
1983.02.26,12:10:06 AM,37.71,29.9,north_east,0.3,0,0
1983.05.15,12:57:35 AM,41.74,32.44,north_east,0.3,10,0
1983.12.09,12:40:11 AM,37.83,29.42,north_east,0.3,6,0
1986.08.18,12:35:50 AM,39.05,28.66,north_east,0.3,10,0
1990.12.09,12:04:35 AM,39.63,27.58,north_east,0.3,1,0
1992.06.28,12:32:22 AM,37.92,27.9,north_east,0.3,12,0
1995.08.20,12:12:08 AM,37.83,29.42,north_east,0.3,9,0
1997.01.21,12:12:53 AM,38.13,28.91,north_east,0.3,8,0
1999.09.22,12:01:56 AM,40.66,30.53,north_east,0.3,5,0
1999.11.12,12:57:21 AM,40.74,31.21,north_east,0.3,25,0
1999.11.13,12:52:00 AM,40.78,30.3,north_east,0.3,10,0
2000.12.15,12:53:16 AM,38.41,31.47,north_east,0.3,4,0
2003.09.06,12:28:26 AM,39.03,40.27,north_east,0.3,5,0
2003.10.27,12:05:21 AM,37.28,28.2,north_east,0.3,5,4
2004.08.19,12:50:21 AM,38.27,31.23,north_east,0.3,16,0
2006.05.12,12:44:15 AM,37.1,28.06,north_east,0.3,6.4,3.6
2007.09.25,12:38:09 AM,39.77,27.77,north_east,0.3,6.8,3.6
2011.05.13,12:28:29 AM,40.78,31.53,north_east,0.3,5,3.9
2011.06.27,12:28:51 AM,39.1,29.03,north_east,0.3,5.4,4.4
2016.10.15,12:23:24 AM,38.94,27.7,north_east,0.3,8.4,3.6
1983.07.31,12:58:34 AM,37.83,27.57,north,0.3,0,0
1991.06.04,12:55:16 AM,40.59,42.98,north,0.3,10,0
1995.10.05,12:15:21 AM,38.04,30.1,north,0.3,7,0
2013.09.26,12:55:36 AM,38.84,43.58,north,0.3,5,4
2017.04.07,12:22:21 AM,39.55,26.19,north,0.3,5.2,3.7
1970.05.08,12:00:41 AM,38.93,30.07,east,0.3,35,4.2
1977.05.02,12:55:02 AM,39.48,44.09,east,0.3,38,0
1991.10.16,12:31:11 AM,39.34,28.95,east,0.3,4,0
1999.12.20,12:46:36 AM,40.69,30.49,east,0.3,6,0
2004.04.26,12:40:45 AM,38.39,41.97,east,0.3,5,0
1943.11.29,12:45:45 AM,38.25,41.54,west,0.4,100,4.8
1968.09.24,12:19:53 AM,39.19,40.29,west,0.4,8,5
1999.08.18,12:34:17 AM,40.77,30.58,west,0.4,11,0
2007.02.21,12:48:19 AM,38.38,39.3,west,0.4,8.5,0
2008.06.03,12:59:22 AM,40.16,26.92,west,0.4,9.7,4
2008.12.23,12:04:30 AM,37.12,39.11,west,0.4,10.8,3.9
2017.03.03,12:04:58 AM,37.56,38.47,west,0.4,18.5,3.8
1975.09.06,12:10:43 AM,38.33,40.56,south_west,0.4,2,0
1977.10.28,12:22:01 AM,38,27.7,south_west,0.4,0,0
1978.02.11,12:53:25 AM,38.39,31.85,south_west,0.4,0,0
1984.03.23,12:23:58 AM,37.86,28.54,south_west,0.4,33,0
1986.05.11,12:48:58 AM,39.51,28.39,south_west,0.4,11,0
1988.02.22,12:46:39 AM,39.04,28.71,south_west,0.4,7,0
1989.10.02,12:55:58 AM,37.8,30.2,south_west,0.4,5,0
1993.11.05,12:53:54 AM,38.85,30.04,south_west,0.4,11,0
1995.12.20,12:31:08 AM,39.55,40.11,south_west,0.4,2,0
1996.04.16,12:44:15 AM,38.93,38.27,south_west,0.4,0,0
1999.11.19,12:59:08 AM,40.78,30.97,south_west,0.4,9,0
2000.11.23,12:26:10 AM,40.66,30.39,south_west,0.4,12,0
2001.04.01,12:18:47 AM,40.93,31.07,south_west,0.4,9,0
2007.08.25,12:05:47 AM,39.26,41.04,south_west,0.4,5,5.4
2008.04.14,12:13:33 AM,38.87,32.79,south_west,0.4,5.1,3.4
2011.10.24,12:14:13 AM,38.72,43.4,south_west,0.4,3.9,4.1
2013.12.30,12:02:47 AM,37.86,38.34,south_west,0.4,7.9,3.5
2014.06.29,12:15:19 AM,38.86,27.17,south_west,0.4,16,4
2015.04.28,12:01:02 AM,38.9,43.58,south_west,0.4,2.1,4
2017.05.01,12:29:27 AM,38.3,42.91,south_west,0.4,5.5,3.6
1967.08.06,12:09:33 AM,41,28.8,south_east,0.4,10,4.4
1970.04.27,12:39:12 AM,38.97,29.33,south_east,0.4,17,4.3
1971.05.12,12:11:53 AM,37.63,30.1,south_east,0.4,43,0
1972.01.16,12:31:01 AM,40.8,30,south_east,0.4,5,0
1974.02.03,12:52:56 AM,38.66,27.22,south_east,0.4,5,0
1976.05.25,12:37:07 AM,39.37,28.99,south_east,0.4,33,0
1983.11.28,12:53:53 AM,40.11,29.4,south_east,0.4,10,0
1986.08.08,12:51:45 AM,38.01,37.7,south_east,0.4,19,0
1987.06.24,12:53:24 AM,38.32,39.35,south_east,0.4,33,0
1992.04.28,12:16:28 AM,39.6,39.91,south_east,0.4,10,0
1993.07.29,12:08:51 AM,38.05,39.24,south_east,0.4,15,0
1995.10.21,12:59:59 AM,36.57,32.07,south_east,0.4,31,0
1996.08.14,12:03:26 AM,40.73,35.28,south_east,0.4,3,0
1996.11.03,12:46:00 AM,39.77,38.31,south_east,0.4,0,0
1997.06.10,12:13:28 AM,39.23,28.21,south_east,0.4,7,0
1999.08.29,12:23:16 AM,40.82,31.22,south_east,0.4,16,0
1999.09.10,12:39:46 AM,40.79,31.1,south_east,0.4,6,0
1999.11.12,12:54:00 AM,40.77,31.26,south_east,0.4,10,0
2003.01.17,12:31:16 AM,37.84,29.46,south_east,0.4,5,0
2003.05.03,12:15:51 AM,39.05,40.44,south_east,0.4,7,0
2005.11.26,12:56:56 AM,38.29,38.83,south_east,0.4,9.4,5.3
2006.02.08,12:07:41 AM,40.71,30.36,south_east,0.4,8.7,4.5
2008.03.01,12:06:05 AM,38.27,39.19,south_east,0.4,5,0
2010.03.05,12:37:52 AM,38.32,39.35,south_east,0.4,12,3.8
2012.05.08,12:37:29 AM,38.35,38.85,south_east,0.4,5,3.6
2012.10.19,12:32:28 AM,41.06,33.47,south_east,0.4,8.4,3.6
2013.09.17,12:40:49 AM,39.05,41.46,south_east,0.4,12.9,5.1
2014.07.04,12:28:54 AM,38.43,41.99,south_east,0.4,6.9,3.9
1990.07.29,12:35:40 AM,37,29.52,south,0.4,25,0
1995.10.01,12:36:20 AM,38.18,30.1,south,0.4,8,0
1999.12.14,12:38:28 AM,40.83,31.1,south,0.4,9,0
2001.12.04,12:43:10 AM,38.65,43.65,south,0.4,10,0
2003.05.27,12:48:16 AM,40.82,31,south,0.4,10,0
2006.09.08,12:40:56 AM,36.35,29.32,south,0.4,22,3.7
2011.10.23,12:37:52 AM,38.74,43.21,south,0.4,5,3.6
1967.07.23,12:39:29 AM,40.98,30,north_west,0.4,33,4.2
1970.03.29,12:37:20 AM,38.74,27.83,north_west,0.4,56,4.6
1976.05.15,12:40:21 AM,39.46,29.02,north_west,0.4,33,0
1977.12.09,12:18:50 AM,39.49,27.98,north_west,0.4,0,0
1981.06.07,12:27:14 AM,39.49,28.1,north_west,0.4,0,0
1982.05.09,12:40:41 AM,37.89,27.5,north_west,0.4,11,3.8
1983.11.19,12:09:31 AM,40.38,42.14,north_west,0.4,32,0
1985.10.04,12:48:30 AM,40.13,29.29,north_west,0.4,10,4.5
1991.02.24,12:05:12 AM,37.1,28.18,north_west,0.4,1,3.8
1991.03.03,12:39:25 AM,40.63,29,north_west,0.4,10,0
1994.11.13,12:38:53 AM,36.94,28.82,north_west,0.4,8,0
1994.11.13,12:29:19 AM,36.94,28.82,north_west,0.4,6,0
1997.04.12,12:40:43 AM,37.85,27.59,north_west,0.4,9,0
1998.12.20,12:21:13 AM,38.77,40.02,north_west,0.4,1,0
2000.02.01,12:46:20 AM,39.3,41.01,north_west,0.4,0,0
2002.03.09,12:32:16 AM,39.62,36.14,north_west,0.4,5,0
2002.09.22,12:35:48 AM,40.39,40.68,north_west,0.4,1,0
2003.01.05,12:46:42 AM,39.24,28.09,north_west,0.4,15,0
2005.01.11,12:35:57 AM,37.02,27.74,north_west,0.4,14.2,5
2005.11.06,12:59:32 AM,38.09,42.6,north_west,0.4,9.5,0
2006.08.08,12:45:48 AM,37.06,27.94,north_west,0.4,3.2,3.3
2007.07.29,12:43:01 AM,38.87,27.74,north_west,0.4,10.5,4
2012.02.29,12:29:12 AM,39.15,29.03,north_west,0.4,5.4,3.9
2012.07.24,12:53:39 AM,38.67,43.46,north_west,0.4,5,4.4
2012.09.15,12:42:55 AM,37.5,35.74,north_west,0.4,8.6,3.8
2015.12.16,12:31:24 AM,39.26,40.22,north_west,0.4,5,3.6
1944.10.18,12:54:05 AM,40.89,33.47,north_east,0.4,10,5.1
1976.10.02,12:06:03 AM,39.47,39.95,north_east,0.4,53,0
1977.04.17,12:34:12 AM,40.2,27.2,north_east,0.4,0,0
1977.07.11,12:37:21 AM,39.98,27.42,north_east,0.4,10,0
1979.05.29,12:23:09 AM,40.89,33.58,north_east,0.4,10,0
1988.12.27,12:19:01 AM,37.38,27.64,north_east,0.4,10,0
1997.01.22,12:57:20 AM,36.14,36.12,north_east,0.4,23,0
1999.03.17,12:46:08 AM,40.59,36.71,north_east,0.4,2,0
2006.10.15,12:35:27 AM,38.74,31.57,north_east,0.4,2.6,3.8
2009.06.05,12:16:27 AM,37.42,31.92,north_east,0.4,3.2,0
2011.05.28,12:35:31 AM,39.11,29.12,north_east,0.4,7.6,4
2012.09.19,12:27:24 AM,37.34,37.13,north_east,0.4,8.8,3.5
2012.12.09,12:45:36 AM,40.73,30.65,north_east,0.4,2.8,3.6
2013.11.24,12:49:38 AM,40.78,31.88,north_east,0.4,7.6,4.8
1976.05.13,12:18:20 AM,39.26,29.18,north,0.4,25,0
2004.05.07,12:20:14 AM,40.55,35.78,north,0.4,10,3.9
1978.03.30,12:23:07 AM,38.72,26.97,east,0.4,10,0
1993.05.21,12:01:18 AM,39.77,28.95,east,0.4,15,0
1995.11.26,12:10:02 AM,38.15,30.09,east,0.4,0,0
1998.03.20,12:02:46 AM,38.15,30.09,east,0.4,3,0
1999.11.12,12:21:00 AM,40.75,31.39,east,0.4,10,0
1999.11.15,12:58:01 AM,40.9,31.21,east,0.4,5,0
2004.05.23,12:41:05 AM,39.93,39.05,east,0.4,5,0
2004.07.01,12:28:47 AM,39.91,40.85,east,0.4,7,0
1943.11.27,12:29:38 AM,40.78,33.93,west,0.5,40,4.9
1967.06.22,12:18:53 AM,40.83,33.6,west,0.5,13,4.6
1969.09.10,12:14:01 AM,39.25,41.38,west,0.5,52,5.1
1983.11.16,12:45:22 AM,40.69,30.48,west,0.5,23,0
1986.10.20,12:47:56 AM,39.5,34.52,west,0.5,10,0
1997.10.13,12:58:30 AM,37.26,36.34,west,0.5,10,0
1998.11.18,12:02:36 AM,39.03,40.07,west,0.5,0,0
1999.10.05,12:53:27 AM,36.8,28.14,west,0.5,23,0
2004.04.17,12:51:48 AM,39.91,40.84,west,0.5,10,0
2004.12.28,12:19:29 AM,41.13,34.42,west,0.5,1,0
2007.07.27,12:57:01 AM,39.38,40.76,west,0.5,5,0
2013.01.31,12:45:52 AM,38.83,43.65,west,0.5,5,4
2017.05.27,12:53:23 AM,38.74,27.83,west,0.5,11.8,5.3
1967.07.22,12:14:00 AM,40.7,30.8,south_west,0.5,10,4.4
1967.07.22,12:08:54 AM,40.7,30.8,south_west,0.5,10,4.3
1967.07.22,12:18:54 AM,40.7,30.8,south_west,0.5,10,4.4
1967.07.22,12:14:10 AM,40.7,30.8,south_west,0.5,6,4.7
1967.07.25,12:22:36 AM,40.7,30.8,south_west,0.5,10,4.2
1967.07.26,12:59:06 AM,40.7,30.8,south_west,0.5,10,4.1
1967.07.30,12:05:48 AM,40.7,30.8,south_west,0.5,10,4.3
1972.03.31,12:16:29 AM,37,31,south_west,0.5,5,0
1976.05.15,12:58:49 AM,39.21,27.2,south_west,0.5,0,0
1981.12.22,12:23:29 AM,39.5,26.13,south_west,0.5,0,3.6
1988.04.16,12:16:51 AM,36.98,29.2,south_west,0.5,10,0
1989.01.27,12:48:36 AM,40.43,29.15,south_west,0.5,11,0
1992.03.02,12:50:02 AM,40.33,32.98,south_west,0.5,10,0
1994.01.28,12:04:09 AM,38.7,27.19,south_west,0.5,17,0
1996.08.14,12:32:57 AM,40.74,35.31,south_west,0.5,3,0
1998.01.12,12:19:50 AM,40.74,35.31,south_west,0.5,2,0
1999.09.27,12:02:02 AM,39.12,26.9,south_west,0.5,19,0
1999.11.12,12:07:00 AM,40.77,31.2,south_west,0.5,10,0
1999.11.15,12:07:41 AM,40.79,31.29,south_west,0.5,4,0
2000.12.18,12:19:30 AM,37.2,35.95,south_west,0.5,9,0
2001.02.01,12:58:47 AM,40.06,27.74,south_west,0.5,7,0
2002.05.19,12:13:00 AM,39.19,27.29,south_west,0.5,10,0
2004.08.16,12:13:33 AM,38.42,39.11,south_west,0.5,10,0
2005.01.11,12:33:35 AM,37.07,27.78,south_west,0.5,8.5,4
2006.01.20,12:32:53 AM,38.48,39.52,south_west,0.5,5.4,0
2009.10.23,12:07:25 AM,39.1,29.03,south_west,0.5,4.2,3.7
2011.09.30,12:27:24 AM,39.65,38.69,south_west,0.5,5,4.4
2011.12.08,12:58:11 AM,38.9,43.6,south_west,0.5,5,3.9
2012.03.11,12:36:12 AM,38.61,44.02,south_west,0.5,5,3.6
2013.02.12,12:00:17 AM,38.6,43.21,south_west,0.5,8,4.4
2013.05.01,12:50:52 AM,37.3,37.12,south_west,0.5,8,4
2017.02.01,12:21:57 AM,38.61,39.55,south_west,0.5,1.4,3.4
1967.07.25,12:39:28 AM,37.9,28.7,south_east,0.5,101,4.3
1969.03.23,12:15:45 AM,39.17,28.32,south_east,0.5,12,4.2
1970.03.28,12:05:28 AM,38.81,29.71,south_east,0.5,7,4.3
1970.03.30,12:59:52 AM,39.34,29.26,south_east,0.5,16,5.3
1970.03.30,12:20:03 AM,39.2,29.8,south_east,0.5,5,0
1970.04.26,12:28:02 AM,39.2,29.8,south_east,0.5,5,0
1975.09.17,12:12:48 AM,38.76,40.78,south_east,0.5,51,0
1990.08.02,12:12:39 AM,37,29.53,south_east,0.5,13,4.3
1994.01.28,12:59:08 AM,38.68,27.49,south_east,0.5,12,0
1997.02.28,12:13:23 AM,40.71,35.39,south_east,0.5,5,0
1998.07.28,12:30:28 AM,41.69,32.48,south_east,0.5,1,0
1999.08.28,12:05:05 AM,39.99,39.39,south_east,0.5,13,0
2001.10.10,12:22:30 AM,39.08,40.17,south_east,0.5,10,0
2005.03.19,12:45:11 AM,39.4,40.82,south_east,0.5,10.5,0
2005.10.04,12:19:27 AM,37.47,42.51,south_east,0.5,7.9,0
2008.12.24,12:04:35 AM,37.84,29.2,south_east,0.5,3.7,3.7
2009.06.17,12:29:13 AM,36.06,36.01,south_east,0.5,8.6,4.5
2010.10.01,12:05:15 AM,38.18,42.55,south_east,0.5,5.4,3.9
2011.10.24,12:00:53 AM,38.9,43.61,south_east,0.5,5,4
2013.09.13,12:29:40 AM,38.79,43.5,south_east,0.5,5,3.7
2017.05.28,12:03:11 AM,38.73,27.84,south_east,0.5,9.5,3.4
1936.09.21,12:27:10 AM,41.23,33.46,south,0.5,40,4.9
1969.03.25,12:18:52 AM,39.17,28.49,south,0.5,34,4.6
1976.06.29,12:04:45 AM,39.42,28.36,south,0.5,8,0
1982.01.05,12:53:17 AM,39.61,28.5,south,0.5,2,0
1982.03.06,12:19:43 AM,39.54,26.19,south,0.5,11,0
1986.07.20,12:01:18 AM,37.81,35.91,south,0.5,2,0
1995.10.19,12:14:00 AM,36.23,36.11,south,0.5,10,0
1996.08.14,12:14:37 AM,40.7,35.43,south,0.5,0,0
1999.02.27,12:58:10 AM,36.49,29.27,south,0.5,20,0
2002.09.16,12:54:15 AM,41.19,34.16,south,0.5,3,0
2008.08.28,12:57:14 AM,38.29,42.41,south,0.5,9.7,0
2010.03.08,12:04:51 AM,38.78,40.02,south,0.5,5,4.7
1913.01.27,12:38:36 AM,38.38,42.23,north_west,0.5,10,5.3
1943.11.27,12:09:00 AM,41,33.7,north_west,0.5,10,4.8
1943.11.27,12:06:00 AM,41,33.7,north_west,0.5,10,4.7
