carat,cut,clarity,price
1.2,Fair,I1,2809
0.7,Very Good,VS1,2810
0.7,Very Good,VS1,2810
0.74,Ideal,SI2,2810
0.7,Good,VS1,2810
0.8,Good,SI1,2810
0.75,Very Good,SI1,2811
0.83,Very Good,SI1,2811
1,Fair,VS2,2811
0.99,Fair,SI2,2811
0.7,Very Good,VS1,2812
0.7,Very Good,VS2,2812
0.7,Good,SI1,2812
0.7,Very Good,VS2,2812
0.32,Premium,SI1,554
0.32,Premium,SI1,554
0.32,Ideal,SI1,554
0.32,Premium,SI1,554
0.32,Very Good,SI1,554
0.32,Ideal,SI1,554
0.3,Premium,SI1,554
0.3,Premium,SI1,554
0.3,Premium,SI1,554
0.3,Very Good,SI1,554
0.3,Good,SI1,554
0.3,Ideal,SI1,554
0.3,Very Good,SI1,554
0.32,Good,SI1,554
0.33,Ideal,SI2,554
0.29,Very Good,VS1,555
0.29,Very Good,VS1,555
0.31,Very Good,SI1,555
0.34,Ideal,VS2,555
0.34,Ideal,VS2,555
0.34,Ideal,VS1,555
0.34,Ideal,VS1,555
0.3,Ideal,VS1,555
0.29,Ideal,VS1,555
0.35,Ideal,SI1,555
0.43,Very Good,I1,555
0.32,Very Good,VS2,556
0.36,Ideal,VS2,556
0.3,Ideal,VS2,556
0.26,Ideal,VS1,556
0.7,Very Good,VS2,2812
0.7,Very Good,VS2,2812
0.71,Ideal,SI1,2812
0.99,Fair,SI1,2812
0.73,Premium,VS2,2812
0.51,Ideal,VVS1,2812
0.91,Premium,SI2,2813
0.84,Very Good,SI1,2813
0.91,Good,VS2,2813
0.76,Premium,SI1,2814
0.76,Ideal,SI1,2814
0.75,Premium,SI1,2814
0.55,Very Good,VVS1,2815
0.76,Very Good,SI2,2815
0.74,Premium,VS1,2815
0.7,Ideal,SI1,2815
0.7,Ideal,SI1,2815
0.7,Ideal,SI1,2815
0.7,Ideal,SI1,2815
0.9,Fair,VS2,2815
0.95,Fair,SI2,2815
0.89,Premium,SI2,2815
0.72,Premium,VS2,2815
0.96,Fair,SI2,2815
1.02,Premium,I1,2815
0.78,Very Good,VVS2,2816
0.61,Ideal,VVS2,2816
0.71,Good,VS1,2816
0.78,Premium,SI1,2816
0.87,Ideal,SI2,2816
0.83,Ideal,SI1,2816
0.71,Premium,SI1,2817
0.71,Ideal,VVS2,2817
0.71,Ideal,VS2,2817
0.71,Premium,VS2,2817
0.63,Ideal,VVS2,2817
0.71,Premium,SI1,2817
0.71,Premium,SI1,2817
0.71,Ideal,SI1,2817
0.71,Premium,SI1,2817
0.9,Ideal,VS2,2817
0.71,Good,SI1,2817
0.7,Premium,VS2,2818
0.7,Premium,VS2,2818
0.7,Premium,VS2,2818
1,Premium,I1,2818
0.86,Premium,SI2,2818
0.8,Ideal,SI1,2818
0.7,Ideal,VS1,2818
0.7,Premium,VS1,2818
0.7,Premium,VS2,2818
0.7,Premium,VS1,2818
1,Fair,SI2,2818
0.72,Very Good,VS1,2819
0.72,Ideal,VS1,2819
0.7,Good,VS1,2819
0.86,Good,SI2,2819
0.71,Ideal,VS1,2820
0.75,Ideal,SI1,2821
0.73,Premium,VS2,2821
0.53,Ideal,VVS1,2821
0.73,Premium,SI1,2821
0.73,Good,SI1,2821
0.73,Premium,SI1,2821
0.73,Premium,SI1,2821
0.73,Premium,SI1,2821
0.73,Very Good,SI1,2821
0.7,Premium,VS1,2822
0.72,Premium,VS2,2822
0.72,Premium,VS2,2822
0.72,Premium,VS2,2822
0.7,Premium,VS2,2822
0.6,Ideal,VVS2,2822
0.74,Ideal,VVS1,2822
0.73,Ideal,SI1,2822
0.71,Premium,SI1,2822
0.71,Premium,SI1,2822
0.7,Premium,SI1,2822
0.7,Ideal,SI1,2822
0.9,Good,VS2,2822
0.71,Ideal,SI1,2822
0.7,Premium,VS2,2822
0.7,Premium,VS2,2822
0.7,Ideal,SI1,2822
0.7,Good,SI1,2822
0.7,Ideal,SI1,2822
0.7,Ideal,SI1,2822
0.7,Premium,VS2,2822
0.7,Premium,VS2,2822
0.7,Ideal,SI1,2822
0.79,Very Good,SI2,2823
0.9,Good,SI1,2823
0.71,Premium,VS2,2823
0.61,Ideal,VVS2,2823
0.9,Fair,SI2,2823
0.71,Ideal,SI1,2823
0.71,Premium,VS2,2824
0.77,Ideal,VVS2,2824
0.74,Good,VS1,2824
0.82,Ideal,SI2,2824
0.82,Premium,SI2,2824
0.71,Premium,VS1,2825
0.83,Premium,SI1,2825
0.73,Very Good,VS1,2825
0.83,Premium,SI1,2825
1.17,Premium,I1,2825
0.91,Fair,SI2,2825
0.73,Premium,VS1,2826
0.7,Good,VS1,2826
0.9,Premium,SI2,2826
0.7,Premium,VS1,2826
0.7,Very Good,VS2,2826
0.7,Premium,VS1,2826
0.9,Very Good,SI2,2826
0.78,Premium,SI1,2826
0.96,Ideal,I1,2826
0.7,Very Good,SI1,2827
0.72,Good,VS2,2827
0.79,Premium,VVS2,2827
0.7,Ideal,VVS1,2827
0.7,Ideal,VVS1,2827
0.7,Ideal,SI2,2828
1.01,Premium,SI2,2828
0.72,Premium,VS1,2829
0.8,Good,SI2,2829
0.59,Ideal,VVS1,2829
0.72,Ideal,VS1,2829
0.75,Premium,SI2,2829
0.8,Premium,SI2,2829
0.71,Very Good,VS2,2830
0.77,Very Good,SI1,2830
0.97,Ideal,I1,2830
0.53,Ideal,VVS1,2830
0.53,Ideal,VVS1,2830
0.8,Ideal,VS2,2830
0.9,Premium,SI1,2830
0.76,Very Good,SI2,2831
0.72,Ideal,SI1,2831
0.75,Ideal,SI1,2831
0.72,Premium,SI1,2831
0.79,Ideal,SI1,2831
0.72,Very Good,VS2,2832
0.91,Very Good,SI2,2832
0.71,Premium,VVS2,2832
0.81,Premium,SI1,2832
0.82,Ideal,SI1,2832
0.71,Premium,VS1,2832
0.9,Good,SI1,2832
0.8,Very Good,VS2,2833
0.56,Very Good,IF,2833
0.7,Very Good,VS2,2833
0.7,Ideal,VS2,2833
0.61,Ideal,VVS2,2833
0.85,Ideal,SI2,2833
0.7,Ideal,SI1,2833
0.8,Ideal,VS2,2834
0.8,Ideal,VS2,2834
0.51,Very Good,VVS1,2834
0.53,Ideal,VVS1,2834
0.78,Ideal,VS2,2834
0.9,Very Good,SI1,2834
0.9,Fair,SI2,2834
0.77,Ideal,SI2,2834
0.73,Ideal,VS1,2835
0.63,Ideal,VVS2,2835
0.7,Ideal,VS2,2835
0.72,Ideal,VS2,2835
0.72,Ideal,SI1,2835
0.75,Premium,VS2,2835
0.82,Very Good,SI1,2836
0.71,Good,VS2,2836
0.7,Premium,VS1,2837
0.7,Ideal,VS1,2837
0.71,Ideal,SI1,2838
0.76,Very Good,SI1,2838
0.82,Fair,SI1,2838
0.72,Premium,VS1,2838
0.7,Premium,VS2,2838
0.7,Premium,VS2,2838
0.7,Premium,VS1,2838
0.7,Premium,VS2,2838
0.7,Very Good,SI1,2838
0.7,Premium,VS2,2838
0.7,Premium,VS2,2838
0.7,Premium,VS1,2838
0.74,Very Good,SI1,2839
0.71,Ideal,VS1,2839
0.7,Ideal,VS1,2839
0.71,Ideal,VS1,2839
0.71,Premium,VS1,2839
0.71,Premium,VS1,2839
0.71,Premium,VS1,2839
0.7,Ideal,VS1,2839
0.73,Ideal,VS2,2839
0.7,Ideal,VS2,2839
0.7,Ideal,VS1,2839
0.71,Premium,VVS2,2839
0.71,Premium,VS1,2839
0.79,Premium,VS2,2839
0.71,Premium,VS1,2839
0.77,Very Good,VS1,2840
0.75,Very Good,SI2,2840
0.7,Ideal,SI1,2840
0.71,Premium,VS2,2840
0.92,Ideal,SI2,2840
0.83,Premium,SI2,2840
0.7,Premium,VVS1,2840
0.73,Premium,VS2,2841
0.71,Very Good,VS1,2841
0.73,Very Good,SI1,2841
0.82,Ideal,SI2,2841
0.82,Ideal,SI2,2841
0.82,Very Good,SI2,2841
0.52,Ideal,VVS1,2841
1,Premium,I1,2841
0.95,Fair,SI1,2841
0.73,Ideal,SI1,2841
0.73,Premium,VS2,2841
0.73,Premium,VS1,2841
0.8,Ideal,VS1,2842
0.7,Premium,VS2,2842
0.7,Very Good,VS2,2843
0.7,Very Good,VS2,2843
0.71,Very Good,VS2,2843
0.81,Very Good,SI2,2843
0.71,Very Good,SI1,2843
0.73,Ideal,VVS2,2843
0.73,Very Good,VS1,2843
0.72,Ideal,VS2,2843
0.81,Ideal,SI2,2843
0.71,Ideal,VVS2,2843
0.73,Very Good,SI1,2844
0.7,Very Good,VS1,2844
1.01,Ideal,I1,2844
1.01,Good,I1,2844
0.79,Ideal,VS2,2844
0.7,Very Good,VS2,2845
0.7,Very Good,VS2,2845
0.8,Good,VS2,2845
1.27,Premium,SI2,2845
0.79,Ideal,SI1,2846
0.72,Very Good,VS1,2846
0.73,Ideal,VVS2,2846
1.01,Fair,SI2,2846
1.01,Good,I1,2846
0.73,Ideal,SI1,2846
0.7,Ideal,SI1,2846
0.7,Good,VS2,2846
0.77,Premium,SI1,2846
0.77,Premium,VS2,2846
0.77,Premium,VS1,2846
0.84,Very Good,SI1,2847
0.72,Ideal,SI1,2847
0.76,Premium,SI1,2847
0.7,Very Good,VVS2,2848
0.54,Ideal,VVS2,2848
0.75,Fair,SI2,2848
0.79,Good,SI1,2849
0.74,Very Good,VS1,2849
0.7,Very Good,VS2,2850
0.7,Ideal,VS2,2850
0.75,Ideal,SI1,2850
1.2,Very Good,I1,2850
0.8,Very Good,SI1,2851
0.66,Ideal,VS1,2851
0.87,Very Good,SI2,2851
0.86,Premium,SI1,2851
0.74,Ideal,SI1,2851
0.58,Very Good,IF,2852
0.78,Ideal,VS1,2852
0.74,Ideal,SI1,2852
0.73,Ideal,SI1,2852
0.91,Very Good,SI1,2852
0.71,Premium,VS2,2853
0.71,Good,VS1,2853
0.79,Ideal,SI2,2853
0.79,Premium,SI2,2853
0.71,Premium,SI1,2853
0.82,Premium,VS1,2853
0.78,Very Good,VS1,2854
0.7,Very Good,VS1,2854
1.12,Premium,I1,2854
0.73,Premium,VS2,2854
0.91,Fair,VS2,2854
0.91,Fair,VS2,2854
0.91,Good,VS2,2854
0.91,Fair,SI1,2854
0.7,Premium,VS1,2854
0.68,Premium,VVS2,2854
0.73,Very Good,VS2,2855
1.03,Good,SI1,2855
0.74,Premium,VS2,2855
0.98,Fair,SI2,2855
1.02,Fair,SI1,2856
1,Fair,SI2,2856
1.02,Ideal,SI2,2856
0.6,Ideal,VVS2,2856
0.8,Ideal,SI2,2856
0.97,Ideal,I1,2856
1,Fair,SI1,2856
0.26,Ideal,VS1,556
0.26,Ideal,VS1,556
0.36,Ideal,SI1,556
0.34,Good,VS2,556
0.34,Good,SI1,556
0.34,Good,SI1,556
0.34,Good,SI1,556
0.34,Very Good,VS2,556
0.34,Ideal,SI1,556
0.32,Good,VS2,556
0.31,Ideal,VVS1,557
0.31,Ideal,VVS1,557
0.31,Ideal,VVS1,557
0.31,Ideal,VVS1,557
0.31,Ideal,VVS1,557
0.31,Ideal,VVS1,557
0.31,Ideal,VS2,557
0.31,Ideal,VS1,557
0.31,Ideal,VS1,557
0.33,Premium,SI2,557
0.33,Premium,SI2,557
0.33,Premium,SI2,557
0.33,Ideal,SI2,557
0.33,Premium,SI2,557
0.33,Premium,VS1,557
0.33,Premium,VS1,557
0.33,Ideal,VS1,557
0.33,Ideal,SI1,557
0.33,Good,SI1,557
0.33,Premium,SI1,557
1,Fair,SI2,2856
0.77,Premium,SI1,2856
0.77,Premium,SI1,2856
0.7,Good,VVS2,2857
0.9,Very Good,SI2,2857
0.72,Ideal,SI1,2857
0.9,Premium,VS2,2857
0.72,Premium,SI1,2857
0.7,Ideal,VVS2,2858
0.81,Very Good,SI1,2858
0.81,Very Good,SI1,2858
0.71,Premium,VS2,2858
0.7,Premium,VS2,2858
0.71,Premium,VS2,2858
0.71,Very Good,VS2,2858
0.92,Premium,SI1,2858
0.76,Ideal,SI1,2858
0.73,Ideal,SI1,2858
0.71,Premium,VS2,2858
0.7,Good,VVS2,2858
0.9,Fair,SI2,2858
0.71,Fair,VS2,2858
0.7,Ideal,VS2,2859
0.7,Premium,VS2,2859
0.77,Premium,VS1,2859
0.71,Ideal,VS1,2859
0.7,Premium,VS2,2859
0.75,Fair,VS1,2859
0.83,Premium,SI2,2859
0.71,Very Good,VS2,2860
0.9,Very Good,SI2,2860
0.6,Ideal,VVS2,2860
0.71,Premium,VS1,2860
0.53,Ideal,VVS1,2860
0.71,Premium,SI1,2861
0.62,Ideal,VVS2,2861
0.62,Ideal,VVS2,2861
0.9,Premium,SI1,2861
0.62,Fair,IF,2861
0.82,Premium,SI2,2861
0.66,Premium,VS1,2861
0.7,Very Good,SI1,2862
0.8,Very Good,SI1,2862
0.8,Very Good,SI2,2862
0.79,Premium,SI1,2862
0.71,Very Good,VVS1,2862
0.7,Ideal,VS2,2862
0.7,Very Good,VS2,2862
0.79,Premium,VS1,2862
0.7,Premium,VS2,2862
1.22,Premium,I1,2862
1.01,Fair,SI2,2862
0.73,Premium,VS2,2862
0.91,Good,VS2,2863
0.71,Ideal,SI1,2863
0.83,Premium,SI1,2863
0.84,Premium,SI2,2863
0.71,Premium,SI1,2863
0.71,Premium,SI1,2863
0.71,Premium,SI1,2863
0.71,Ideal,SI1,2863
0.71,Premium,SI1,2863
0.71,Premium,SI1,2863
0.91,Premium,SI1,2863
0.9,Premium,VS2,2863
0.71,Premium,VVS2,2863
0.71,Premium,SI1,2863
0.72,Ideal,VS2,2863
0.72,Premium,SI1,2863
0.71,Ideal,VS2,2863
0.81,Ideal,SI2,2864
0.83,Very Good,VS2,2865
0.73,Premium,SI1,2865
0.56,Very Good,VVS1,2866
0.56,Very Good,VVS1,2866
0.71,Ideal,VS1,2866
0.7,Ideal,VVS1,2866
0.96,Premium,SI1,2866
0.71,Very Good,VVS1,2867
0.7,Ideal,VS2,2867
0.71,Ideal,VVS1,2867
0.8,Premium,VS2,2867
0.95,Premium,SI2,2867
0.82,Ideal,SI2,2867
0.52,Ideal,VVS1,2867
0.82,Ideal,SI2,2867
0.82,Ideal,SI2,2867
0.82,Premium,SI2,2867
0.8,Ideal,SI1,2867
0.96,Fair,SI2,2867
0.72,Ideal,VS1,2868
0.62,Ideal,IF,2868
0.79,Premium,SI2,2868
0.75,Very Good,SI1,2868
1.08,Premium,I1,2869
0.72,Ideal,SI1,2869
0.62,Ideal,IF,2869
0.73,Ideal,VVS2,2869
0.72,Ideal,VVS2,2869
0.52,Premium,VVS2,2870
0.83,Ideal,SI2,2870
0.64,Premium,VVS2,2870
0.8,Ideal,SI1,2870
0.74,Ideal,SI1,2870
0.72,Ideal,SI1,2870
0.82,Ideal,VS2,2870
0.73,Premium,VS1,2870
1.04,Premium,I1,2870
0.73,Very Good,SI1,2871
0.73,Good,SI1,2871
0.9,Premium,SI1,2871
0.75,Ideal,SI1,2871
0.79,Ideal,SI1,2871
0.7,Good,SI1,2872
0.75,Very Good,SI1,2872
1.02,Ideal,I1,2872
0.7,Very Good,SI2,2872
0.7,Ideal,SI1,2872
0.7,Good,SI1,2872
0.7,Ideal,SI1,2872
0.7,Ideal,SI1,2872
0.7,Very Good,SI1,2872
0.72,Very Good,VS2,2872
0.74,Ideal,SI1,2872
0.84,Good,SI1,2872
0.76,Very Good,VS2,2873
0.77,Very Good,SI1,2873
0.76,Ideal,SI2,2873
1,Ideal,SI2,2873
1,Fair,SI1,2873
0.9,Fair,SI1,2873
0.9,Premium,SI1,2873
0.9,Good,SI1,2873
0.9,Fair,SI1,2873
0.9,Fair,SI1,2873
0.9,Premium,SI1,2873
0.78,Premium,VS2,2874
0.71,Premium,VS2,2874
0.7,Premium,VS1,2874
0.7,Premium,VS1,2874
0.7,Premium,VVS2,2874
0.7,Ideal,VS1,2874
0.7,Ideal,VS1,2874
0.7,Ideal,VS1,2874
0.7,Premium,VVS2,2874
1,Fair,SI2,2875
0.77,Ideal,SI1,2875
1,Fair,VS1,2875
1,Fair,SI1,2875
1,Fair,SI2,2875
0.73,Premium,VS1,2876
0.79,Premium,VS2,2876
0.72,Very Good,VS1,2877
0.71,Ideal,VS1,2877
0.74,Ideal,VS2,2877
0.7,Good,VVS1,2877
0.7,Good,VS1,2877
0.79,Very Good,SI1,2878
0.79,Very Good,SI1,2878
0.79,Very Good,SI2,2878
0.71,Ideal,VS2,2878
