日期,销售额
2017/7/16,2633
2017/7/17,3644
2017/7/18,2890
2017/7/19,2608
2017/7/20,2550
2017/7/21,2655
2017/7/22,2575
2017/7/23,3381
2017/7/24,2287
2017/7/25,2832
2017/7/26,2984
2017/7/27,2347
2017/7/28,2533
2017/7/29,2170
2017/7/30,2342
2017/7/31,2224
2017/8/1,2319
2017/8/2,2442
2017/8/3,2474
2017/8/4,2707
2017/8/5,3017
2017/8/6,2520
2017/8/7,3816
2017/8/8,2371
2017/8/9,2790
2017/8/10,3405
2017/8/11,3320
2017/8/12,2318
2017/8/13,2999
2017/8/14,2322
2017/8/15,2181
2017/8/16,2191
2017/8/17,2279
2017/8/18,2669
2017/8/19,2534
2017/8/20,2782
2017/8/21,3161
2017/8/22,2545
2017/8/23,3497
2017/8/24,2646
2017/8/25,3160
2017/8/26,2610
2017/8/27,2191
2017/8/28,3501
2017/8/29,3333
2017/8/30,2632
2017/8/31,2983
2017/9/1,3831
2017/9/2,2368
2017/9/3,3254
2017/9/4,2449
2017/9/5,2609
2017/9/6,2345
2017/9/7,2396
2017/9/8,2575
2017/9/9,2188
2017/9/10,2435
2017/9/11,2213
2017/9/12,2509
2017/9/13,3287
2017/9/14,2228
2017/9/15,3100
2017/9/16,2349
2017/9/17,2495
2017/9/18,2574
2017/9/19,3580
2017/9/20,3532
2017/9/21,2507
2017/9/22,2251
2017/9/23,2301
2017/9/24,2244
2017/9/25,2198
2017/9/26,2953
2017/9/27,3061
2017/9/28,2443
2017/9/29,2600
2017/9/30,2729
2017/10/1,2580
2017/10/2,2392
2017/10/3,2328
2017/10/4,3028
2017/10/5,2210
2017/10/6,2392
2017/10/7,3018
2017/10/8,2180
2017/10/9,2757
2017/10/10,2320
2017/10/11,2821
2017/10/12,2407
2017/10/13,2608
2017/10/14,2204
2017/10/15,2317
2017/10/16,2194
2017/10/17,3080
2017/10/18,3695
2017/10/19,2302
2017/10/20,2289
2017/10/21,2649
2017/10/22,2268
2017/10/23,2230
2017/10/24,2229
2017/10/25,3640
2017/10/26,2985
2017/10/27,2471
2017/10/28,2442
2017/10/29,2328
2017/10/30,2385
2017/10/31,2396
2017/11/1,2255
2017/11/2,2351
2017/11/3,2282
2017/11/4,2288
2017/11/5,2210
2017/11/6,2473
2017/11/7,3605
2017/11/8,3827
2017/11/9,2827
2017/11/10,2468
2017/11/11,3924
2017/11/12,2196
2017/11/13,2966
2017/11/14,2273
2017/11/15,2590
2017/11/16,2292
2017/11/17,2877
2017/11/18,2821
2017/11/19,2521
2017/11/20,2519
2017/11/21,2263
2017/11/22,2398
2017/11/23,2387
2017/11/24,3194
2017/11/25,2216
2017/11/26,2535
2017/11/27,2924
2017/11/28,2831
2017/11/29,2272
2017/11/30,2292
2017/12/1,2205
2017/12/2,3274
2017/12/3,2414
2017/12/4,2714
2017/12/5,2461
2017/12/6,3415
2017/12/7,2616
2017/12/8,3811
2017/12/9,2485
2017/12/10,2799
2017/12/11,3210
2017/12/12,2958
2017/12/13,2480
2017/12/14,2229
2017/12/15,2252
2017/12/16,2284
2017/12/17,2226
2017/12/18,2348
2017/12/19,2382
2017/12/20,2816
2017/12/21,3238
2017/12/22,3025
2017/12/23,2411
2017/12/24,3817
2017/12/25,2894
2017/12/26,2910
2017/12/27,2431
2017/12/28,2484
2017/12/29,2334
2017/12/30,3174
2017/12/31,2803
2018/1/1,2863
2018/1/2,2324
2018/1/3,2278
2018/1/4,2261
2018/1/5,2250
2018/1/6,2802
2018/1/7,2318
2018/1/8,3608
2018/1/9,2451
2018/1/10,2678
2018/1/11,3043
2018/1/12,2245
2018/1/13,3056
2018/1/14,2813
2018/1/15,2967
2018/1/16,3386
2018/1/17,2288
2018/1/18,2539
2018/1/19,2993
2018/1/20,3142
2018/1/21,2250
2018/1/22,2670
2018/1/23,2340
2018/1/24,2869
2018/1/25,3215
2018/1/26,3359
2018/1/27,3261
2018/1/28,3529
2018/1/29,2419
2018/1/30,3378
2018/1/31,2274
2018/2/1,3154
2018/2/2,3581
2018/2/3,3779
2018/2/4,4041
2018/2/5,2321
2018/2/6,3006
2018/2/7,2353
2018/2/8,2746
2018/2/9,2531
2018/2/10,2534
2018/2/11,2702
2018/2/12,2767
2018/2/13,4019
2018/2/14,2643
2018/2/15,3004
2018/2/16,2894
2018/2/17,3133
2018/2/18,3796
2018/2/19,2427
2018/2/20,2485
2018/2/21,2620
2018/2/22,2939
2018/2/23,2681
2018/2/24,2503
2018/2/25,2669
2018/2/26,2386
2018/2/27,3146
2018/2/28,3337
2018/3/1,2895
2018/3/2,2608
2018/3/3,2637
2018/3/4,3261
2018/3/5,2705
2018/3/6,3611
2018/3/7,2583
2018/3/8,2490
2018/3/9,2940
2018/3/10,2286
2018/3/11,2327
2018/3/12,2557
2018/3/13,2509
2018/3/14,2564
2018/3/15,2805
2018/3/16,2373
2018/3/17,3960
2018/3/18,3459
2018/3/19,3366
2018/3/20,2663
2018/3/21,2287
2018/3/22,2509
2018/3/23,3736
2018/3/24,2600
2018/3/25,2352
2018/3/26,4129
2018/3/27,3351
2018/3/28,2279
2018/3/29,2732
2018/3/30,2304
2018/3/31,3461
2018/4/1,2859
2018/4/2,2487
2018/4/3,2617
2018/4/4,3231
2018/4/5,2840
2018/4/6,2351
2018/4/7,2566
2018/4/8,2350
2018/4/9,3062
2018/4/10,2272
2018/4/11,3238
2018/4/12,2815
2018/4/13,2860
2018/4/14,2448
2018/4/15,2946
2018/4/16,3893
2018/4/17,2685
2018/4/18,2960
2018/4/19,2583
2018/4/20,2649
2018/4/21,2344
2018/4/22,3240
2018/4/23,3002
2018/4/24,2450
2018/4/25,2510
2018/4/26,2324
2018/4/27,2453
2018/4/28,2345
2018/4/29,2877
2018/4/30,2754
2018/5/1,2699
2018/5/2,2506
2018/5/3,2509
2018/5/4,3551
2018/5/5,2364
2018/5/6,2874
2018/5/7,3204
2018/5/8,2753
2018/5/9,2949
2018/5/10,2949
2018/5/11,2314
2018/5/12,2517
2018/5/13,2388
2018/5/14,3132
2018/5/15,2779
2018/5/16,2630
2018/5/17,2356
2018/5/18,2477
2018/5/19,2313
2018/5/20,2912
2018/5/21,2994
2018/5/22,3655
2018/5/23,2575
2018/5/24,2366
2018/5/25,2562
2018/5/26,2505
2018/5/27,2879
2018/5/28,2490
2018/5/29,3370
2018/5/30,2710
2018/5/31,2364
2018/6/1,2405
2018/6/2,2817
2018/6/3,2962
2018/6/4,2927
2018/6/5,2454
2018/6/6,2606
2018/6/7,2451
2018/6/8,3646
2018/6/9,2564
2018/6/10,3370
2018/6/11,2537
2018/6/12,2442
2018/6/13,2660
2018/6/14,2464
2018/6/15,2897
2018/6/16,3583
2018/6/17,2611
2018/6/18,3262
2018/6/19,2929
2018/6/20,2784
2018/6/21,4002
2018/6/22,3728
2018/6/23,2563
2018/6/24,2392
2018/6/25,2415
2018/6/26,2344
2018/6/27,3039
2018/6/28,2964
2018/6/29,3128
2018/6/30,2361
2018/7/1,3750
2018/7/2,2574
2018/7/3,2858
2018/7/4,2535
2018/7/5,2518
2018/7/6,2367
2018/7/7,3027
2018/7/8,2438
2018/7/9,2512
2018/7/10,2821
2018/7/11,2803
2018/7/12,2544
2018/7/13,2936
2018/7/14,2537
2018/7/15,2416
2018/7/16,2399
2018/7/17,2812
2018/7/18,2847
2018/7/19,2368
2018/7/20,2327
2018/7/21,2406
2018/7/22,2809
2018/7/23,2984
2018/7/24,2925
2018/7/25,2910
2018/7/26,2383
2018/7/27,2645
2018/7/28,2494
2018/7/29,2515
2018/7/30,2330
2018/7/31,2526
2018/8/1,2479
2018/8/2,3424
2018/8/3,2594
2018/8/4,2347
2018/8/5,2323
2018/8/6,2504
2018/8/7,2404
2018/8/8,2487
2018/8/9,2811
2018/8/10,3200
2018/8/11,3423
2018/8/12,2782
2018/8/13,2441
2018/8/14,2327
2018/8/15,2602
2018/8/16,2654
2018/8/17,2329
2018/8/18,3414
2018/8/19,2957
2018/8/20,2796
2018/8/21,3354
2018/8/22,2616
2018/8/23,2451
2018/8/24,2733
2018/8/25,2371
2018/8/26,2574
2018/8/27,3503
2018/8/28,2435
2018/8/29,3100
2018/8/30,2886
2018/8/31,3596
2018/9/1,2339
2018/9/2,3549
2018/9/3,2483
2018/9/4,3527
2018/9/5,2820
2018/9/6,2976
2018/9/7,2629
2018/9/8,2574
2018/9/9,3092
2018/9/10,2403
2018/9/11,2570
2018/9/12,2486
2018/9/13,2622
2018/9/14,2423
2018/9/15,2377
2018/9/16,3454
2018/9/17,2438
2018/9/18,3742
2018/9/19,2827
2018/9/20,2375
2018/9/21,2652
2018/9/22,2450
2018/9/23,3044
2018/9/24,2590
2018/9/25,2372
2018/9/26,3760
2018/9/27,2348
2018/9/28,3035
2018/9/29,2410
2018/9/30,2373
2018/10/1,2431
2018/10/2,2506
2018/10/3,2489
2018/10/4,2533
2018/10/5,2447
2018/10/6,3320
2018/10/7,2376
2018/10/8,2397
2018/10/9,2369
2018/10/10,2949
2018/10/11,3121
2018/10/12,2976
2018/10/13,2782
2018/10/14,2387
2018/10/15,2387
2018/10/16,2767
2018/10/17,3030
2018/10/18,2600
2018/10/19,2977
2018/10/20,2499
2018/10/21,2879
2018/10/22,2495
2018/10/23,2454
2018/10/24,2483
2018/10/25,2371
2018/10/26,4005
2018/10/27,2630
2018/10/28,3265
2018/10/29,3246
2018/10/30,3225
2018/10/31,2724
2018/11/1,3186
2018/11/2,2534
2018/11/3,2823
2018/11/4,2494
2018/11/5,2395
2018/11/6,2379
2018/11/7,2778
2018/11/8,2408
2018/11/9,2523
2018/11/10,3009
2018/11/11,2854
2018/11/12,2386
2018/11/13,2470
2018/11/14,2761
2018/11/15,2857
2018/11/16,2412
2018/11/17,3640
2018/11/18,2549
2018/11/19,2447
2018/11/20,2875
2018/11/21,2373
2018/11/22,2986
2018/11/23,2954
2018/11/24,2457
2018/11/25,2895
2018/11/26,2644
2018/11/27,2436
2018/11/28,3975
2018/11/29,2372
2018/11/30,2461
2018/12/1,2456
2018/12/2,3356
2018/12/3,2373
2018/12/4,3065
2018/12/5,2582
2018/12/6,2927
2018/12/7,2950
2018/12/8,3427
2018/12/9,2991
2018/12/10,2419
2018/12/11,3002
2018/12/12,3323
2018/12/13,2826
2018/12/14,3107
2018/12/15,2963
2018/12/16,2881
2018/12/17,3763
2018/12/18,3448
2018/12/19,2734
2018/12/20,3637
2018/12/21,2723
2018/12/22,2875
2018/12/23,3652
2018/12/24,2690
2018/12/25,2543
2018/12/26,2720
2018/12/27,2505
2018/12/28,3171
2018/12/29,2642
2018/12/30,2597
2018/12/31,3033
2019/1/1,3004
2019/1/2,3502
2019/1/3,2535
2019/1/4,3201
2019/1/5,2872
2019/1/6,2536
2019/1/7,2738
2019/1/8,2503
2019/1/9,2501
2019/1/10,3107
2019/1/11,3011
2019/1/12,3642
2019/1/13,3109
2019/1/14,2692
2019/1/15,2869
2019/1/16,2714
2019/1/17,2398
2019/1/18,2403
2019/1/19,2680
2019/1/20,3793
2019/1/21,2669
2019/1/22,2961
2019/1/23,3511
2019/1/24,2410
2019/1/25,2937
2019/1/26,2720
2019/1/27,2462
2019/1/28,2608
2019/1/29,3474
2019/1/30,3304
2019/1/31,2541
2019/2/1,2500
2019/2/2,3218
2019/2/3,2935
2019/2/4,2667
2019/2/5,2606
2019/2/6,2570
2019/2/7,2774
2019/2/8,2858
2019/2/9,3950
2019/2/10,2700
2019/2/11,2970
2019/2/12,3683
2019/2/13,2562
2019/2/14,2671
2019/2/15,2404
2019/2/16,2763
2019/2/17,3520
2019/2/18,2913
2019/2/19,2715
2019/2/20,3292
2019/2/21,3024
2019/2/22,3174
2019/2/23,2995
2019/2/24,3571
2019/2/25,3992
2019/2/26,2406
2019/2/27,2600
2019/2/28,3568
2019/3/1,2412
2019/3/2,3545
2019/3/3,2609
2019/3/4,2421
2019/3/5,2614
2019/3/6,2468
2019/3/7,2422
2019/3/8,3551
2019/3/9,3124
2019/3/10,2443
2019/3/11,3468
2019/3/12,3284
2019/3/13,3355
2019/3/14,3015
2019/3/15,2641
2019/3/16,2522
2019/3/17,3718
2019/3/18,2565
2019/3/19,2470
2019/3/20,2449
2019/3/21,2760
2019/3/22,2846
2019/3/23,2542
2019/3/24,2684
2019/3/25,3085
2019/3/26,2553
2019/3/27,2780
2019/3/28,2818
2019/3/29,3219
2019/3/30,2617
2019/3/31,2565
2019/4/1,3659
2019/4/2,3676
2019/4/3,2709
2019/4/4,2452
2019/4/5,3248
2019/4/6,2430
2019/4/7,3668
2019/4/8,2576
2019/4/9,2779
2019/4/10,2824
2019/4/11,2861
2019/4/12,2913
2019/4/13,3148
2019/4/14,2630
2019/4/15,2496
2019/4/16,2433
2019/4/17,3363
2019/4/18,2870
2019/4/19,4049
2019/4/20,2515
2019/4/21,3428
2019/4/22,3051
2019/4/23,2429
2019/4/24,2748
2019/4/25,3101
2019/4/26,3785
2019/4/27,2891
2019/4/28,3272
2019/4/29,2705
2019/4/30,3493
2019/5/1,2435
2019/5/2,2429
2019/5/3,2713
2019/5/4,4035
2019/5/5,4058
2019/5/6,2430
2019/5/7,2599
2019/5/8,3875
2019/5/9,3453
2019/5/10,3130
2019/5/11,2433
2019/5/12,2819
2019/5/13,4042
2019/5/14,2503
2019/5/15,2711
2019/5/16,2610
2019/5/17,2823
2019/5/18,2730
2019/5/19,2786
2019/5/20,2618
2019/5/21,3843
2019/5/22,2588
2019/5/23,2944
2019/5/24,3204
2019/5/25,2617
2019/5/26,3634
2019/5/27,2765
2019/5/28,2825
2019/5/29,4084
2019/5/30,2497
2019/5/31,3009
2019/6/1,2825
2019/6/2,2594
2019/6/3,2945
2019/6/4,3541
2019/6/5,3637
2019/6/6,2842
2019/6/7,4124
2019/6/8,2687
2019/6/9,2500
2019/6/10,2564
2019/6/11,2767
2019/6/12,2741
2019/6/13,2831
2019/6/14,3806
2019/6/15,2598
2019/6/16,2674
2019/6/17,3182
2019/6/18,4062
2019/6/19,3420
2019/6/20,2915
2019/6/21,2547
2019/6/22,3263
2019/6/23,3246
2019/6/24,2568
2019/6/25,3792
2019/6/26,2739
2019/6/27,2546
2019/6/28,2784
2019/6/29,2494
2019/6/30,3067
2019/7/1,2714
2019/7/2,2966
2019/7/3,3411
2019/7/4,3016
2019/7/5,2863
2019/7/6,3233
2019/7/7,3345
2019/7/8,3867
2019/7/9,2578
2019/7/10,3095
2019/7/11,3181
2019/7/12,2465
2019/7/13,2505
2019/7/14,2998
2019/7/15,3600
2019/7/16,2932
2019/7/17,2647
2019/7/18,2621
2019/7/19,3188
2019/7/20,2619
2019/7/21,3447
2019/7/22,2992
2019/7/23,2499
2019/7/24,2502
2019/7/25,2462
2019/7/26,2553
2019/7/27,2610
2019/7/28,2568
2019/7/29,2955
2019/7/30,2835
2019/7/31,3635
2019/8/1,2975
2019/8/2,2503
2019/8/3,3502
2019/8/4,3360
2019/8/5,2592
2019/8/6,3549
2019/8/7,3670
2019/8/8,3159
2019/8/9,3896
2019/8/10,2494
2019/8/11,2669
2019/8/12,3058
2019/8/13,2506
2019/8/14,2549
2019/8/15,2822
2019/8/16,2612
2019/8/17,2584
2019/8/18,3588
2019/8/19,2508
2019/8/20,2803
2019/8/21,2533
2019/8/22,3079
2019/8/23,3626
2019/8/24,2806
2019/8/25,2500
2019/8/26,3613
2019/8/27,2678
2019/8/28,3415
2019/8/29,3030
2019/8/30,3549
2019/8/31,3436
2019/9/1,4333
2019/9/2,3255
2019/9/3,2681
2019/9/4,2644
2019/9/5,4076
2019/9/6,2648
2019/9/7,2814
2019/9/8,2530
2019/9/9,3552
2019/9/10,2490
2019/9/11,4073
2019/9/12,2825
2019/9/13,2494
2019/9/14,3120
2019/9/15,2726
2019/9/16,2906
2019/9/17,3055
2019/9/18,2973
2019/9/19,2507
2019/9/20,2499
2019/9/21,2651
2019/9/22,2648
2019/9/23,2771
2019/9/24,3058
2019/9/25,2918
2019/9/26,3960
2019/9/27,2906
2019/9/28,2527
2019/9/29,2663
2019/9/30,2774
2019/10/1,2523
2019/10/2,2687
2019/10/3,2579
2019/10/4,3717
2019/10/5,3207
2019/10/6,3299
2019/10/7,3068
2019/10/8,3272
2019/10/9,2511
2019/10/10,3529
2019/10/11,2754
2019/10/12,3485
2019/10/13,2614
2019/10/14,3130
2019/10/15,3421
2019/10/16,3040
2019/10/17,2873
2019/10/18,2504
2019/10/19,2615
2019/10/20,3072
2019/10/21,2657
2019/10/22,2946
2019/10/23,2863
2019/10/24,3936
2019/10/25,3083
2019/10/26,2805
2019/10/27,3218
2019/10/28,2534
2019/10/29,2601
2019/10/30,4048
2019/10/31,2588
2019/11/1,2561
2019/11/2,2938
2019/11/3,2758
2019/11/4,3178
2019/11/5,2569
2019/11/6,2610
2019/11/7,2969
2019/11/8,3133
2019/11/9,3022
2019/11/10,2961
2019/11/11,3984
2019/11/12,2799
2019/11/13,2941
