Airport name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year,Airport coordinates
Vladimir,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.316228'), Decimal('56.123257'))"
Volgograd (Gumrak),2019,50,63,70,78,67,68,74,77,72,83,75,95,872,"(Decimal('44.356743'), Decimal('48.792276'))"
Vologda,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.936025'), Decimal('59.284144'))"
Volokovaya,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('48.238974'), Decimal('66.483341'))"
Vorkuta,2019,2.35,5.53,2.92,3.2,3.03,8.04,5.96,8.15,2.67,4.98,7.66,1.54,56.03,"(Decimal('64.00447'), Decimal('67.490244'))"
Voronezh (Chertovitskoe),2019,12.94,17.92,15.4,19.08,17.25,18.2,23.33,20.94,22.36,25.77,45.04,26.76,264.99,"(Decimal('39.225359'), Decimal('51.812576'))"
Gelendzhik,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.025156'), Decimal('44.593815'))"
Gorno-Altaisk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('85.841302'), Decimal('51.969985'))"
Terrible (North),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.699751'), Decimal('43.384707'))"
deputy,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('139.903775'), Decimal('69.391802'))"
Dixon,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('80.383003'), Decimal('73.516386'))"
Ekaterinburg (Koltsovo),2019,993.26,1273.32,1499.75,1520.75,1445.59,1282.2,1468.23,1555.6,1455.79,1450.33,1578.03,1673.96,17196.81,"(Decimal('60.802263'), Decimal('56.750256'))"
Pitorafik,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.098589'), Decimal('58.464048'))"
Erbogaçen,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('108.019592'), Decimal('61.274815'))"
Jigansk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('123.362449'), Decimal('66.788511'))"
Zhukovsky,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.117727'), Decimal('55.56167'))"
Gulf Lawrence (Lawrence),2019,2,0,10,10,6,6,4,3,3,2,3,14,63,"(Decimal('-71.970927'), Decimal('46.619124'))"
Zeyskaya,2019,0.12,0.26,0.05,1.57,1.76,1.92,3.91,0.82,1.05,0.95,0.71,0.51,13.63,"(Decimal('127.087987'), Decimal('53.690803'))"
Zыrjanka,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('150.898525'), Decimal('65.740391'))"
Ivanovo (Yuzhny),2019,7.22,30.39,27.51,52.34,36.47,71.11,51.24,41.46,96.01,30.7,70.23,31.29,545.97,"(Decimal('40.94371'), Decimal('56.942303'))"
Igarka,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('86.61538'), Decimal('67.442834'))"
Vorkuta,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('64.434979'), Decimal('63.201582'))"
Izhevsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.45064'), Decimal('56.830871'))"
Izhma,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.962626'), Decimal('65.026271'))"
Indiga,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('49.047682'), Decimal('67.645944'))"
Inta,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('60.11825'), Decimal('66.053127'))"
Yoshkar-Ola,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.906786'), Decimal('56.700099'))"
Irkutsk,2019,441.16,548.35,683.79,745.31,705.44,687.97,802.78,890.58,802.47,771.89,908.22,851.02,8838.98,"(Decimal('104.355777'), Decimal('52.273103'))"
Kazan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('49.298591'), Decimal('55.608089'))"
Kaliningrad (Hrabrovo),2019,479.36,505.72,579.7,535.25,486.92,524.89,521.52,617.83,664.76,604.28,626.02,740.46,6886.71,"(Decimal('20.58582'), Decimal('54.883038'))"
Kaluga (Grabtsevo),2019,0.7,0.57,0.71,1.71,0.97,8.3,10.91,8.13,2.7,0,4.18,2.21,41.09,"(Decimal('36.366974'), Decimal('54.54689'))"
Karatayka,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('61.412462'), Decimal('68.764539'))"
Kemerovo,2019,79.14,109.01,110,109.69,96.21,109.81,111.65,114.85,106.18,106.57,117.67,155.12,1325.9,"(Decimal('86.118863'), Decimal('55.28199'))"
Keperveem,2019,79,98,103,145,66,125,71,115,51,119,101,190,1263,"(Decimal('166.145801'), Decimal('67.844582'))"
Ust-kut,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('108.051455'), Decimal('57.770078'))"
Kirov (Pobedilovo),2019,4.7,5.9,5.2,6.8,5.8,7.4,6.3,6.2,7.6,11.5,11,11.2,89.6,"(Decimal('49.346758'), Decimal('58.4975'))"
Kogalym,2019,2.47,3.11,4.47,3.47,3.6,6.8,5,4.65,3.84,3.99,3.64,5.68,50.72,"(Decimal('74.5295'), Decimal('62.195565'))"
Kodinsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('99.102052'), Decimal('58.47899'))"
Komsomolsk-on-Amur,2019,168.51,144.86,99.17,186,113.36,158.95,98.61,113.67,59.61,112.47,127.69,234.9,1617.8,"(Decimal('136.929004'), Decimal('50.403351'))"
Kondinskoye,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('67.421005'), Decimal('59.654312'))"
Kostroma,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('41.013303'), Decimal('57.807633'))"
Kotkin,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('51.114283'), Decimal('67.027658'))"
Kotlas,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('46.703403'), Decimal('61.237562'))"
Krasnodar (Paszkowski),2019,312.07,407.07,558.88,561.64,545.96,572.67,540.62,623.35,647.8,633.24,614.26,639.68,6657.24,"(Decimal('39.139669'), Decimal('45.033923'))"
Krasnoselkup,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('82.460555'), Decimal('65.716517'))"
Krasnoyarsk,2019,950.41,1151.4,1276.04,1421.23,1302.43,1207.68,1129.33,1255.64,1301.86,1447.48,1433.96,1570.68,15448.14,"(Decimal('92.486391'), Decimal('56.180578'))"
Krasnoyarsk (Cheremshanka),2019,35.53,49.96,77.51,62.59,44.58,23.32,39.34,40.25,26.16,40.5,83.84,87.77,611.35,"(Decimal('92.486391'), Decimal('56.180578'))"
Mound,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.411582'), Decimal('55.462896'))"
Kurilsk (Clear),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('145.681308'), Decimal('43.959284'))"
Kursk (Eastern),2019,0.1,0.2,0.1,0.2,0.2,0,0.1,0.4,0.3,0.2,0.2,0.2,2.2,"(Decimal('36.282442'), Decimal('51.749429'))"
red,2019,1.02,1.9,1.78,1.87,8.42,14.6,2.06,16.44,7.76,3.82,2.14,1.82,63.63,"(Decimal('94.40495'), Decimal('51.676108'))"
Labozhskoe,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.092791'), Decimal('67.329986'))"
Zabaykalsk,2019,15.58,16.83,18.18,43.15,52.11,47.57,45.96,39.77,38.72,51.94,48.23,28.49,446.53,"(Decimal('114.831553'), Decimal('60.722585'))"
Лешуконское,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.739403'), Decimal('64.893683'))"
Lipetsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.524561'), Decimal('52.698037'))"
Magadan (Falcon),2019,429,565,625,656,621,656,647,626,678,704,674,929,7810,"(Decimal('150.73116'), Decimal('59.914272'))"
Magnitogorsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.761516'), Decimal('53.391002'))"
Mom,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('112.894758'), Decimal('58.314348'))"
Manila,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('165.340345'), Decimal('62.48391'))"
brand,2019,0,1,7,14,1,0,6,6,7,11,3,20,76,"(Decimal('170.415063'), Decimal('64.668558'))"
Makhachkala (Uytash),2019,77,209.4,227.7,234.2,270.7,269.6,289.7,328.7,298.1,309.4,253.1,294.1,3061.7,"(Decimal('47.655707'), Decimal('42.820909'))"
Mezhdurechensk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Mezen,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.214755'), Decimal('65.873771'))"
Milkovo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.568826'), Decimal('54.681956'))"
Mineral water,2019,99.48,115.36,121.2,122.38,97.99,108.13,114.73,132.02,137.8,188.77,164.54,161.39,1563.79,"(Decimal('43.087648'), Decimal('44.217799'))"
Peaceful,2019,284.12,369.31,417.51,602.78,823.54,503.23,672.14,702.3,527.76,760.39,794.02,599.46,7056.56,"(Decimal('114.022431'), Decimal('62.531382'))"
Moscow (Vnukovo),2019,2876.41,3442.8,4205.05,4274.35,4156.71,3887.51,3880.57,3512.55,4216.92,4543.42,4580.71,5313.91,48890.91,"(Decimal('37.295014'), Decimal('55.608562'))"
Moscow (Domodedovo),2019,7272.37,7851.19,8847.62,8378.11,8079.51,8340.99,9811.07,8598.48,8612.43,9413.65,10188.46,10468.84,105862.72,"(Decimal('37.767995'), Decimal('55.437168'))"
Moscow (Ostafyevo),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Moscow (Sheremetyevo),2019,19422.8,20851.1,26703.6,28634.2,26192.8,26069.5,28158.6,28298.2,29620.1,30608.6,32723.9,32533.8,329817.2,"(Decimal('37.405974'), Decimal('55.962962'))"
Мотыгино,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('94.738926'), Decimal('58.181907'))"
Murmansk,2019,104.18,128.22,217.96,157.24,148.64,146.23,146.7,163.93,163.3,174.79,181.74,211.67,1944.6,"(Decimal('32.758163'), Decimal('68.784743'))"
Cape-Stone,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Nadym,2019,19.33,24.45,23.8,27.78,32.28,32.25,31.85,34.71,28.29,25.96,29.65,33.49,343.84,"(Decimal('72.69258'), Decimal('65.479934'))"
Nazran (Magas),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.81624'), Decimal('43.171501'))"
Nalchik,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('43.635863'), Decimal('43.508409'))"
Naryan-Mar,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.086319'), Decimal('67.633534'))"
Nelkan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.162463'), Decimal('57.648494'))"
Nerungri (Chulman),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('124.899763'), Decimal('56.905386'))"
Nes,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.666347'), Decimal('66.596872'))"
Nižneangarsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('109.599145'), Decimal('55.801344'))"
Nizhnevartovsk,2019,147.5,200.7,217.8,210.7,142,152.2,140.1,162.2,179.6,167.5,147,191.2,2058.5,"(Decimal('76.494691'), Decimal('60.951112'))"
Kazan (Begiševo),2019,30.51,35.26,41.3,45.11,37.45,33.02,46.65,44.61,37.42,47.08,41.2,53.81,493.42,"(Decimal('52.101325'), Decimal('55.564404'))"
Nizhny Novgorod (Strigino),2019,45.36,60.13,63.37,61.62,63.62,141.48,95.87,70.88,62.85,69.43,60.8,130.57,925.98,"(Decimal('43.791127'), Decimal('56.219628'))"
lower Pesha,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.722119'), Decimal('66.739662'))"
Nikolaevsk-on-Amur,2019,5.73,6.31,5.8,4.15,2.45,3.2,2.9,3.29,2.26,3.04,4.87,3.47,47.47,"(Decimal('140.663597'), Decimal('53.149961'))"
Nikolskoye,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('166.043519'), Decimal('55.177036'))"
Novokuznetsk (Spichenkovo),2019,66.8,85,95.1,88.9,78.1,95,94,99.4,101.4,104.6,104.9,119.1,1132.3,"(Decimal('86.864303'), Decimal('53.805377'))"
Novosibirsk (Tolmachyovo),2019,1615.6,1941.5,2125.4,2078.4,2181.3,2169.9,2333.9,2406.2,2164,2357.8,2442.5,2742.4,26558.9,"(Decimal('82.667491'), Decimal('55.009425'))"
New Urengoy,2019,240.72,307.97,430.01,412.5,328.19,362.21,298.08,338.5,318.73,317.72,340.88,353.94,4049.45,"(Decimal('76.522422'), Decimal('66.072965'))"
Nogliki,2019,3.63,4.28,3.21,2.89,3.65,2.03,3.76,3.49,4.13,4.72,3.45,3.76,43,"(Decimal('143.140926'), Decimal('51.788476'))"
Norilsk,2019,700.82,916.29,1123.08,1258.39,1227.49,997.51,835.83,795.95,785.48,933.78,1100.97,1202.5,11878.09,"(Decimal('87.342342'), Decimal('69.325039'))"
Noyabrsk,2019,39.7,46.36,49.52,48.4,51.85,53,46.44,49.2,48.1,49.42,45.26,58.27,585.52,"(Decimal('75.274455'), Decimal('63.181841'))"
Нюрба,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('118.364259'), Decimal('63.298313'))"
Nyagan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.605995'), Decimal('62.101946'))"
Luengo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('156.534636'), Decimal('51.501392'))"
Olekminsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('120.464672'), Decimal('60.397143'))"
SUV,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('112.47608'), Decimal('68.514229'))"
ohm,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('46.507902'), Decimal('66.65247'))"
Omolon,2019,0,1,1,4,1,14,2,12,18,14,7,18,92,"(Decimal('160.545443'), Decimal('65.236944'))"
Omsk (central),2019,195,239,266,280,252,268,268,292,288,312,310,388,3358,"(Decimal('73.007305'), Decimal('55.085528'))"
Omsukçan,2019,0,0,1.73,4,27.77,51.93,35.42,27.19,18.51,28.6,24.26,19.47,238.88,"(Decimal('155.740193'), Decimal('62.459104'))"
Orenburg (central),2019,67.99,81.65,89.22,101.39,89.06,100.33,107.73,116.82,106.97,111.26,100.75,134.74,1207.91,"(Decimal('55.457063'), Decimal('51.79139'))"
Ossora,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('163.064409'), Decimal('59.232256'))"
Okha,2019,4.81,4.75,6.47,5.49,4.29,4.89,4.36,5.48,5,4.09,4.65,5.31,59.59,"(Decimal('142.890431'), Decimal('53.517945'))"
Okhotsk,2019,92.34,113.13,90.35,99.02,45.74,55.58,70.63,55.94,51.56,70.27,73.63,112.09,930.28,"(Decimal('143.065575'), Decimal('59.413192'))"
Palana,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('159.892476'), Decimal('59.0835'))"
Pahachi,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('169.120483'), Decimal('60.555631'))"
Pevek,2019,38,82,85,123,89,59,53,36,56,56,77,110,864,"(Decimal('170.602999'), Decimal('69.788315'))"
Penza,2019,0.2,0.63,0.02,0.02,0.38,1.24,2.12,1.7,1.57,1.36,1.38,0.82,11.44,"(Decimal('45.023041'), Decimal('53.118367'))"
Perm (Bolshoye Savino),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('56.010461'), Decimal('57.91612'))"
Petrozavodsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('34.156265'), Decimal('61.877798'))"
Petropavlovsk (Yelizovo),2019,406.5,601.93,569.4,588.08,663.07,907.36,1183.85,1429.89,1223.26,1047.88,795.5,885.49,10302.21,"(Decimal('158.425285'), Decimal('53.169328'))"
Pechora,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('57.142913'), Decimal('65.116912'))"
pioneer,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('76.278861'), Decimal('59.152775'))"
Plast,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.289996'), Decimal('44.815586'))"
Podkamyennaya Tunguska,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('90.009799'), Decimal('61.599826'))"
Pauline Osipenko,2019,0,0,0.14,0,0,0,0,0,0,0,0,0,0.14,"(Decimal('136.473657'), Decimal('52.43876'))"
Polar,2019,18.29,87.97,27.67,50.12,77.58,45.82,37.87,88.4,64.77,34.74,124.33,116.17,773.73,"(Decimal('112.038215'), Decimal('66.400137'))"
Providence (Providence Harbor),2019,1,2,6,8,0,1,3,1,1,2,3,6,34,"(Decimal('-173.230419'), Decimal('64.38401'))"
Pskov (crosses),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('28.392072'), Decimal('57.797486'))"
Rostov-on-Don (fee),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.929081'), Decimal('47.488342'))"
Sabetta,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('72.046997'), Decimal('71.219177'))"
Sakkırır,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('130.399707'), Decimal('67.792415'))"
Salekhard,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('66.586569'), Decimal('66.59012'))"
Samara (Kurumoch),2019,174.52,202.86,218.53,229,212.35,215.42,245.38,244.91,230.42,252.82,235.04,306.81,2768.06,"(Decimal('50.157667'), Decimal('53.512259'))"
Sangar,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('127.4196'), Decimal('63.958127'))"
Saint Petersburg (Pulkovo),2019,1710,1770,2181,2216,2051,2270,2270,2545,2499,2827,2487,2585,27411,"(Decimal('30.273027'), Decimal('59.79977'))"
Saransk,2019,0,0,0,0,0,0,0,0.6,0.4,0.8,1.8,1,4.6,"(Decimal('45.217131'), Decimal('54.137932'))"
Saratov (Gagarin),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('46.169983'), Decimal('51.71802'))"
Saratov (central),2019,18.8,26.6,28.1,31,29.9,32.5,33.8,20.1,0,0,0,0,220.8,"(Decimal('106.644236'), Decimal('47.454355'))"
Saskılah,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('114.084658'), Decimal('71.92841'))"
Svetlogorsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('88.410025'), Decimal('66.842607'))"
North-Yenisei,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('93.016353'), Decimal('60.373043'))"
North Even,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('159.230687'), Decimal('61.919039'))"
Seymçan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('152.413453'), Decimal('62.923512'))"
Simferopol,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('33.980968'), Decimal('45.036235'))"
sheaf,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.019969'), Decimal('66.739116'))"
Sobolevo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('155.966326'), Decimal('54.305068'))"
Sovetskaya Gavan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('140.052545'), Decimal('48.933734'))"
Soviet,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('63.600884'), Decimal('61.331802'))"
Solovki,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('35.723241'), Decimal('65.029939'))"
Sochi,2019,146.42,239.68,238.65,187.63,203.15,225.41,217.76,290.77,1198.35,1003.08,229.1,248.14,4428.14,"(Decimal('39.941316'), Decimal('43.44837'))"
Среднеколымск,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('153.718705'), Decimal('67.46549'))"
Stavropol (Shpakovskoye),2019,46,50,68,68,55,60,59,63,64,67,64,82,746,"(Decimal('42.105169'), Decimal('45.112737'))"
Stary Oskol,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('37.76778'), Decimal('51.32412'))"
Strezhevoy,2019,1.7,2.6,3.9,2.7,3.1,2.1,2.2,2.7,2.1,3,2.6,2.9,31.6,"(Decimal('77.64952'), Decimal('60.717274'))"
Samsearn,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('117.640738'), Decimal('62.183775'))"
Surgut,2019,196.18,244.9,276.87,271.03,254.86,274.27,269.61,281.26,257.24,284.11,273.05,320.78,3204.16,"(Decimal('73.40807'), Decimal('61.340204'))"
Syktyvkar,2019,40.3,44.02,58.99,50.3,45.14,49.03,48.05,47.85,47.11,52.05,48.62,63.74,595.2,"(Decimal('50.851293'), Decimal('61.663805'))"
Taz,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('78.647108'), Decimal('67.484725'))"
Таксимо,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('114.922175'), Decimal('56.360153'))"
Talakan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('111.038938'), Decimal('59.867032'))"
Tambov,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('41.491404'), Decimal('52.803629'))"
Tarko-Sale,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('77.789172'), Decimal('64.922685'))"
Tigil,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.713895'), Decimal('57.776817'))"
Tiksi,2019,27.89,21.78,29.43,31.47,31.61,42.55,38.98,38.62,29.29,37.67,39.1,99.91,468.3,"(Decimal('128.888094'), Decimal('71.698596'))"
Tilichiki,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('166.026819'), Decimal('60.382823'))"
Tobolsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Tolka,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('82.049414'), Decimal('63.989903'))"
