年,月,日,时,分,秒,col1,col2
1987,7,15,20,37,32,1,4
1943,10,14,8,54,10,0,0
1912,7,8,6,28,41,1,-4
1907,3,22,1,24,28,0,2
1932,10,18,2,37,19,1,-3
1991,9,13,23,7,3,1,0
1957,4,2,1,6,8,0,-2
1972,12,10,22,3,40,1,2
1942,2,23,1,32,26,1,3
1948,4,7,0,8,29,1,4
1964,10,3,2,52,26,0,-3
1972,11,20,23,20,40,1,2
1975,6,26,3,29,37,0,5
1971,7,7,11,34,35,0,-1
1937,4,20,23,52,3,0,5
1924,11,7,9,5,30,1,-5
1911,12,14,0,45,0,0,-1
1965,4,27,6,7,44,1,5
1967,7,8,7,2,53,0,-3
1951,1,18,21,15,27,0,3
1911,1,7,21,59,23,1,-4
1999,5,10,22,15,46,0,-4
1965,11,20,21,20,18,0,-3
1949,8,18,8,32,46,0,1
1920,3,10,9,25,39,1,2
1909,7,25,4,44,55,1,2
1962,3,18,17,3,59,0,3
1921,11,14,8,19,40,1,5
1905,6,17,12,54,37,1,2
1977,3,19,1,13,57,0,3
1958,3,15,5,44,2,0,2
1953,10,27,13,49,10,0,0
1902,6,11,9,20,47,0,5
1994,10,16,11,50,57,0,1
1973,12,6,3,58,55,0,0
1940,5,18,18,5,23,0,2
1958,10,28,12,38,2,0,-4
1938,7,11,9,53,23,0,-3
1947,6,5,16,18,35,0,0
1946,7,3,19,6,15,0,-5
1999,2,5,22,55,32,1,4
1905,8,14,11,1,57,1,-4
1908,8,1,18,37,27,1,2
1961,6,6,1,38,2,1,-4
1955,9,22,22,26,16,1,-3
1948,11,11,12,31,47,0,-4
1965,11,14,7,45,52,0,-4
1915,9,17,8,16,15,1,5
1937,10,6,5,24,22,1,5
1931,5,27,8,29,6,0,4
1966,6,8,14,28,13,1,1
1944,12,1,5,23,3,1,-3
1985,4,18,15,7,44,0,-2
1930,8,27,12,17,26,0,5
1990,10,20,0,8,31,1,-5
2000,12,4,5,40,52,1,-4
1983,6,19,14,35,15,1,-5
1943,1,3,20,0,29,1,0
1918,2,26,9,55,32,1,4
1984,5,23,3,7,32,0,0
1900,12,2,14,55,25,1,-1
1982,1,20,10,30,25,0,4
1998,4,10,18,24,40,0,3
1935,4,26,18,19,33,0,3
1982,10,18,23,19,1,1,1
1975,1,12,21,49,56,1,-3
1902,3,26,17,7,26,0,1
1968,8,23,19,33,50,0,-5
1926,9,20,5,25,57,1,1
1915,3,28,7,45,12,1,-1
1963,6,12,21,9,1,1,0
1998,8,10,0,58,40,1,1
1983,5,12,14,3,28,0,5
1945,9,12,20,9,42,1,-1
1955,5,26,1,12,11,1,0
1938,6,19,2,36,48,1,-2
1975,11,5,17,23,42,1,-1
1938,8,8,10,37,11,0,-1
1972,11,24,1,13,57,0,5
1934,10,8,7,57,34,1,-5
1981,12,11,11,43,28,0,2
1977,5,22,16,15,37,1,1
1922,10,27,17,57,14,0,-3
1981,4,23,17,55,13,1,-1
1912,9,3,20,1,57,0,0
1958,2,28,13,2,19,0,-4
1918,6,3,23,24,1,1,3
1991,12,17,1,41,56,0,-3
1950,9,1,15,56,21,0,-2
1974,4,8,18,24,15,1,-5
1912,11,21,0,35,4,1,-4
1916,7,1,20,14,39,0,1
1993,11,27,12,47,33,1,5
1924,2,21,14,10,38,0,-1
2000,10,18,19,32,58,0,1
1933,5,26,8,22,13,1,3
1958,5,22,16,53,6,1,4
1965,5,13,9,8,1,1,0
1936,1,27,2,7,34,0,1
1936,3,20,3,17,24,0,-4
1993,5,8,0,7,52,1,4
1980,12,17,21,30,59,0,1
1916,12,16,7,35,41,1,0
1943,6,9,23,3,48,1,-5
1966,12,11,7,6,27,1,-4
1985,2,10,12,4,20,1,-3
1936,11,22,22,53,56,1,0
1904,2,2,9,9,20,1,-2
1982,2,13,16,5,4,0,4
1994,9,9,0,51,47,0,-3
1993,7,13,21,31,38,0,2
1948,12,18,3,10,35,0,-1
1942,10,20,6,37,41,1,0
1948,3,15,20,5,52,1,-4
1991,12,15,4,54,10,0,3
1946,12,1,2,41,14,0,2
1948,3,24,16,4,41,1,-5
1901,12,11,4,57,0,0,-4
1999,1,27,6,45,46,0,5
1943,3,3,17,3,43,1,0
1968,6,19,14,39,18,1,1
1932,4,8,14,39,50,1,2
1927,9,3,7,36,50,0,-1
1972,6,14,13,24,23,1,-1
1970,3,27,20,32,14,0,-1
1951,2,4,7,30,51,0,3
1988,6,13,8,47,6,1,-5
1910,12,9,3,17,52,1,4
1909,4,12,4,25,11,0,-5
1978,4,3,18,48,49,0,5
1963,8,16,10,41,54,1,-3
1952,7,7,8,25,43,1,2
1999,4,8,18,59,24,0,4
1966,9,20,6,48,47,0,0
1936,11,11,23,10,15,1,-2
1924,6,3,10,44,57,1,-2
1962,5,20,6,41,33,0,-4
1905,9,16,6,8,12,0,5
1957,9,3,11,30,21,1,1
1939,2,28,4,41,12,0,-5
1975,7,19,16,0,13,0,0
1982,11,4,2,14,4,1,-3
1902,12,17,7,21,7,0,-4
1932,10,24,9,12,21,0,4
1970,8,28,21,7,15,0,-2
1952,6,11,4,48,34,1,-3
1949,11,16,17,33,33,0,3
1985,7,21,1,14,29,0,3
1957,9,18,22,34,20,1,-1
1910,11,6,21,16,43,1,-5
1927,1,20,21,7,35,0,1
1993,6,13,2,59,53,1,1
1916,6,17,13,17,19,1,0
1930,3,15,9,58,23,1,-5
1908,6,22,1,55,57,0,-4
1913,4,9,22,8,57,1,-1
1966,10,9,23,58,20,0,5
1978,5,10,7,24,21,0,5
1943,8,4,0,29,36,0,3
1964,9,18,8,48,33,0,-1
1966,2,14,0,2,28,0,-4
1959,4,26,20,47,4,1,4
