Date,Fruit,Sale
2019-12-26,Peach,29
2019-07-18,Pear,20
2019-02-01,Grape,13
2019-03-15,Grape,2
2019-02-04,Pear,7
2019-12-21,Apple,15
2019-07-13,Grape,9
2019-08-11,Pear,0
2019-08-10,Pear,1
2019-04-02,Pear,26
2019-12-23,Peach,6
2019-02-26,Pear,20
2019-05-17,Banana,19
2019-07-06,Peach,22
2019-07-10,Pear,18
2019-11-30,Pear,23
2019-01-18,Peach,5
2019-02-12,Peach,20
2019-07-07,Peach,19
2019-11-07,Apple,16
2019-10-03,Apple,4
2019-03-26,Apple,17
2019-04-27,Apple,6
2019-04-05,Pear,12
2019-09-27,Banana,24
2019-04-05,Peach,25
2019-02-11,Peach,10
2019-12-17,Peach,21
2019-03-17,Grape,29
2019-04-05,Grape,24
2019-01-10,Peach,1
2019-09-27,Peach,0
2019-11-20,Peach,2
2019-08-07,Banana,28
2019-12-17,Pear,28
2019-03-21,Grape,13
2019-10-31,Peach,2
2019-06-24,Peach,29
2019-10-19,Pear,23
2019-08-23,Apple,22
2019-07-23,Grape,22
2019-12-13,Apple,12
2019-04-07,Grape,2
2019-04-13,Grape,17
2019-12-05,Apple,19
2019-04-17,Apple,27
2019-12-09,Peach,5
2019-07-20,Pear,26
2019-05-25,Peach,15
2019-11-01,Peach,1
2019-01-28,Grape,16
2019-06-19,Apple,9
2019-09-02,Peach,19
2019-06-02,Peach,2
2019-03-30,Apple,9
2019-07-26,Apple,25
2019-10-28,Peach,3
2019-12-12,Grape,13
2019-09-30,Peach,28
2019-06-15,Peach,13
2019-08-08,Apple,5
2019-05-27,Grape,16
2019-01-25,Banana,3
2019-03-18,Apple,15
2019-02-23,Peach,12
2019-04-11,Apple,17
2019-11-17,Apple,19
2019-08-19,Peach,9
2019-06-12,Pear,6
2019-06-13,Peach,12
2019-04-24,Pear,9
2019-02-17,Pear,9
2019-08-11,Peach,23
2019-04-15,Grape,18
2019-11-04,Peach,23
2019-01-16,Grape,21
2019-08-08,Grape,0
2019-11-28,Banana,21
2019-07-10,Pear,3
2019-11-15,Grape,9
2019-09-23,Pear,14
2019-12-19,Apple,25
2019-07-17,Apple,29
2019-04-11,Banana,26
2019-06-28,Grape,14
2019-10-04,Peach,6
2019-12-12,Peach,11
2019-02-26,Peach,18
2019-11-06,Peach,5
2019-11-16,Apple,29
2019-06-06,Apple,13
2019-09-30,Grape,2
2019-02-22,Grape,29
2019-07-09,Pear,12
2019-06-09,Apple,0
2019-07-28,Pear,13
2019-01-27,Peach,28
2019-12-26,Banana,24
2019-10-22,Pear,28
2019-05-18,Apple,23
2019-09-16,Apple,15
2019-11-08,Peach,20
2019-02-05,Grape,10
2019-06-12,Grape,3
2019-04-13,Pear,3
2019-11-08,Pear,18
2019-01-07,Peach,26
2019-07-12,Grape,13
2019-03-17,Grape,12
2019-09-22,Grape,28
2019-04-27,Apple,27
2019-07-28,Pear,24
2019-02-22,Grape,21
2019-05-13,Banana,18
2019-01-06,Grape,2
2019-05-26,Peach,7
2019-05-11,Grape,10
2019-07-19,Pear,26
2019-01-21,Peach,13
2019-03-01,Apple,17
2019-10-22,Peach,4
2019-11-10,Grape,0
2019-08-17,Peach,26
2019-05-14,Banana,18
2019-01-07,Peach,21
2019-02-20,Peach,3
2019-01-27,Banana,11
2019-12-20,Pear,3
2019-11-06,Pear,13
2019-05-10,Grape,22
2019-12-26,Pear,17
2019-05-20,Peach,23
2019-10-03,Apple,18
2019-06-09,Grape,26
2019-03-12,Pear,27
2019-06-23,Peach,13
2019-07-27,Grape,1
2019-09-10,Grape,5
2019-01-17,Peach,0
2019-04-23,Apple,12
2019-03-25,Apple,1
2019-01-14,Grape,27
2019-12-26,Peach,26
2019-01-11,Banana,11
2019-07-04,Apple,24
2019-11-14,Peach,22
2019-04-23,Apple,11
2019-10-13,Apple,17
2019-12-11,Grape,14
2019-04-19,Peach,8
2019-04-18,Apple,20
2019-08-26,Peach,17
2019-06-21,Apple,21
2019-09-10,Pear,15
2019-03-22,Apple,28
2019-03-25,Grape,16
2019-06-01,Banana,29
2019-01-25,Peach,23
2019-05-17,Grape,17
2019-10-07,Grape,5
2019-04-02,Apple,6
2019-12-15,Banana,0
2019-12-05,Peach,27
2019-10-19,Apple,20
2019-04-13,Apple,18
2019-08-24,Grape,5
2019-09-06,Apple,22
2019-03-19,Pear,12
2019-06-13,Grape,4
2019-06-29,Pear,29
2019-09-06,Apple,18
2019-06-30,Apple,25
2019-12-21,Grape,28
2019-12-09,Grape,26
2019-11-05,Banana,26
2019-03-18,Grape,26
2019-03-09,Grape,0
2019-08-09,Apple,12
2019-04-14,Peach,22
2019-03-11,Grape,4
2019-06-03,Apple,9
2019-05-15,Banana,27
2019-04-26,Grape,2
2019-07-16,Grape,6
2019-12-03,Grape,4
2019-06-18,Apple,2
2019-06-05,Banana,0
2019-01-25,Pear,9
2019-10-12,Pear,6
2019-06-23,Banana,19
2019-03-24,Grape,23
2019-05-25,Banana,12
2019-01-20,Grape,4
2019-02-15,Grape,26
2019-01-26,Apple,26
2019-12-14,Grape,23
2019-11-07,Pear,16
2019-09-25,Apple,3
2019-01-02,Banana,28
2019-05-10,Pear,3
2019-02-06,Banana,2
2019-12-18,Apple,25
2019-09-30,Apple,10
2019-07-21,Apple,16
2019-08-17,Apple,28
2019-08-05,Banana,1
2019-10-11,Grape,29
2019-11-13,Peach,24
2019-01-16,Pear,4
2019-03-02,Apple,2
2019-07-11,Peach,18
2019-01-13,Peach,2
2019-02-17,Grape,13
2019-09-24,Grape,14
2019-08-08,Banana,11
2019-04-15,Peach,11
2019-11-30,Grape,14
2019-04-14,Grape,20
2019-01-23,Apple,24
2019-09-07,Grape,3
2019-07-09,Grape,23
2019-11-27,Grape,20
2019-07-06,Apple,18
2019-06-04,Grape,19
2019-01-02,Apple,21
2019-02-26,Pear,18
2019-01-19,Peach,21
2019-02-06,Grape,29
2019-12-29,Peach,3
2019-09-19,Peach,16
2019-01-12,Peach,2
2019-02-01,Pear,6
2019-12-05,Peach,3
2019-09-05,Grape,25
2019-03-14,Peach,20
2019-12-16,Apple,17
2019-09-13,Apple,17
2019-04-28,Grape,16
2019-10-09,Pear,2
2019-07-27,Apple,22
2019-04-16,Grape,18
2019-06-22,Pear,16
2019-01-01,Peach,25
2019-05-12,Banana,1
2019-04-05,Peach,27
2019-04-24,Apple,27
2019-05-16,Peach,18
2019-12-27,Grape,25
2019-05-08,Grape,9
2019-04-16,Peach,14
2019-08-20,Pear,1
2019-08-04,Pear,26
2019-11-18,Peach,14
2019-10-12,Banana,12
2019-10-26,Pear,23
2019-12-02,Banana,25
2019-09-28,Pear,7
2019-06-12,Peach,18
2019-02-10,Grape,11
2019-06-02,Peach,8
2019-01-16,Peach,19
2019-09-08,Grape,0
2019-07-13,Pear,8
2019-07-05,Peach,8
2019-09-20,Peach,21
2019-03-24,Pear,10
2019-02-25,Peach,22
2019-01-11,Peach,11
2019-07-17,Apple,11
2019-07-21,Peach,16
2019-07-06,Pear,25
2019-05-27,Grape,26
2019-11-14,Apple,25
2019-02-04,Peach,11
2019-02-23,Pear,16
2019-02-20,Banana,5
2019-12-28,Peach,10
2019-10-25,Grape,20
2019-10-22,Apple,16
2019-05-22,Grape,21
2019-05-21,Pear,10
2019-01-10,Apple,14
2019-07-04,Apple,22
2019-09-13,Peach,23
2019-07-28,Peach,1
2019-11-10,Peach,10
2019-07-24,Apple,1
2019-05-12,Peach,10
2019-02-06,Peach,19
2019-12-03,Pear,2
2019-03-08,Grape,14
2019-10-28,Apple,2
2019-01-01,Peach,15
2019-06-16,Peach,6
2019-07-24,Grape,6
2019-12-17,Grape,20
2019-01-30,Banana,27
2019-10-12,Apple,20
2019-12-24,Apple,24
2019-07-09,Pear,19
2019-12-24,Pear,2
2019-09-21,Apple,6
2019-01-06,Grape,5
2019-09-26,Grape,1
2019-08-01,Pear,26
2019-08-20,Peach,1
2019-05-18,Banana,15
2019-02-15,Banana,21
2019-12-17,Banana,7
2019-08-14,Grape,22
2019-11-24,Banana,20
2019-08-27,Pear,13
2019-10-05,Grape,3
2019-05-27,Grape,18
2019-12-25,Apple,19
2019-05-24,Grape,6
2019-07-24,Peach,2
2019-02-27,Grape,12
2019-05-11,Banana,3
2019-05-02,Banana,20
2019-11-25,Grape,8
2019-06-13,Apple,28
2019-12-03,Banana,15
2019-10-05,Banana,19
2019-11-15,Grape,17
2019-05-08,Peach,18
2019-02-18,Grape,11
2019-03-02,Peach,13
2019-10-11,Apple,20
2019-10-26,Apple,2
2019-07-07,Pear,8
2019-08-30,Grape,8
2019-03-26,Peach,8
2019-01-30,Grape,28
2019-03-09,Peach,20
2019-04-14,Apple,13
2019-04-28,Pear,28
2019-11-13,Pear,6
2019-12-20,Peach,14
2019-07-13,Apple,14
2019-01-01,Pear,9
2019-01-28,Grape,25
2019-06-29,Grape,16
2019-12-06,Peach,7
2019-02-27,Pear,14
2019-05-10,Pear,2
2019-11-09,Peach,6
2019-04-03,Peach,13
2019-05-12,Peach,20
2019-07-07,Peach,24
2019-01-23,Grape,7
2019-10-19,Grape,11
2019-09-20,Banana,29
2019-09-23,Peach,5
2019-01-24,Banana,21
2019-04-18,Apple,10
2019-08-09,Apple,13
2019-10-22,Pear,25
2019-04-01,Apple,19
2019-04-10,Banana,3
2019-02-08,Grape,20
2019-03-19,Pear,26
2019-05-24,Apple,13
2019-09-07,Grape,3
2019-04-23,Apple,6
2019-08-29,Apple,24
2019-11-21,Apple,26
2019-04-13,Apple,27
2019-04-09,Apple,14
2019-08-10,Apple,25
2019-08-27,Apple,8
2019-02-24,Apple,23
2019-08-20,Banana,24
2019-10-10,Grape,3
2019-04-10,Pear,16
2019-11-26,Peach,20
2019-10-12,Peach,5
2019-07-06,Pear,28
2019-01-18,Grape,13
2019-05-28,Grape,8
2019-07-26,Apple,12
2019-08-16,Peach,2
2019-05-05,Peach,15
2019-06-27,Grape,22
2019-12-01,Peach,8
2019-12-13,Apple,23
2019-08-18,Banana,15
2019-10-23,Apple,22
2019-01-28,Banana,14
2019-11-18,Peach,16
2019-01-01,Apple,6
2019-02-02,Grape,29
2019-11-23,Peach,11
2019-05-01,Grape,18
2019-07-12,Peach,19
2019-04-08,Peach,2
2019-12-18,Peach,15
2019-07-13,Peach,9
2019-07-30,Peach,0
2019-04-25,Pear,10
2019-09-03,Peach,17
2019-12-24,Banana,9
2019-08-12,Apple,2
2019-11-02,Pear,15
2019-02-22,Peach,22
2019-10-23,Grape,26
2019-03-12,Peach,0
2019-07-30,Pear,14
2019-12-08,Peach,24
2019-11-29,Pear,11
2019-05-20,Apple,4
2019-11-13,Pear,2
2019-09-24,Grape,28
2019-05-06,Peach,21
2019-12-28,Banana,14
2019-01-03,Pear,2
2019-01-22,Peach,10
2019-08-24,Peach,6
2019-02-20,Pear,2
2019-03-26,Grape,4
2019-11-02,Grape,0
2019-07-07,Grape,17
2019-08-19,Apple,1
2019-05-22,Apple,0
2019-03-31,Pear,7
2019-06-01,Banana,17
2019-01-29,Grape,17
2019-01-16,Peach,25
2019-04-06,Grape,22
2019-09-14,Peach,27
2019-07-07,Pear,12
2019-03-27,Pear,5
2019-06-11,Grape,19
2019-01-26,Peach,13
2019-05-04,Apple,26
2019-04-29,Peach,8
2019-09-02,Apple,18
2019-02-20,Peach,14
2019-01-30,Grape,29
2019-10-08,Peach,28
2019-10-11,Apple,22
2019-03-22,Peach,19
2019-06-21,Pear,15
2019-04-08,Pear,29
2019-07-31,Pear,24
2019-04-08,Banana,25
2019-05-31,Banana,1
2019-07-25,Peach,24
2019-11-03,Banana,29
2019-11-28,Apple,6
2019-03-02,Pear,3
2019-01-19,Peach,21
2019-05-09,Apple,4
2019-03-28,Pear,13
2019-08-15,Apple,28
2019-02-23,Peach,6
2019-04-04,Grape,3
2019-04-15,Grape,3
2019-07-09,Banana,26
2019-03-18,Peach,10
2019-06-17,Pear,17
2019-10-06,Apple,4
2019-02-26,Apple,16
2019-04-20,Banana,23
2019-07-22,Grape,21
2019-06-02,Peach,8
2019-02-03,Peach,27
2019-11-30,Apple,9
2019-10-03,Apple,3
2019-05-11,Peach,18
2019-05-25,Grape,13
2019-01-16,Grape,0
2019-05-14,Grape,9
2019-01-27,Peach,14
2019-08-16,Apple,0
2019-06-29,Apple,14
2019-06-15,Peach,0
2019-05-05,Grape,22
2019-09-08,Peach,18
2019-10-16,Apple,2
2019-08-04,Grape,22
2019-05-06,Peach,17
2019-02-04,Apple,16
2019-11-02,Peach,29
2019-09-09,Banana,1
2019-03-09,Peach,6
2019-07-27,Pear,19
2019-07-11,Apple,9
2019-07-01,Pear,27
2019-03-05,Peach,6
2019-03-24,Peach,22
2019-03-26,Peach,26
2019-09-28,Grape,26
2019-12-03,Grape,14
2019-11-25,Peach,15
2019-02-21,Peach,24
2019-06-24,Apple,4
2019-07-14,Apple,13
2019-06-07,Pear,16
2019-04-25,Grape,19
2019-07-04,Peach,10
2019-05-19,Banana,22
2019-04-05,Peach,29
2019-09-16,Apple,16
2019-02-20,Peach,9
2019-02-06,Banana,19
2019-07-07,Pear,23
2019-01-09,Apple,19
2019-05-05,Grape,1
2019-08-07,Banana,15
2019-04-22,Peach,17
2019-05-12,Peach,13
2019-12-05,Peach,1
2019-07-09,Grape,7
2019-06-21,Grape,21
2019-07-26,Peach,10
2019-07-24,Peach,13
2019-03-24,Apple,11
2019-06-13,Peach,15
2019-03-07,Pear,26
2019-07-12,Peach,15
2019-11-02,Grape,7
2019-11-27,Apple,20
2019-08-20,Peach,3
2019-05-05,Peach,3
2019-04-02,Peach,17
2019-08-11,Grape,12
2019-03-03,Apple,24
2019-04-23,Apple,3
2019-06-03,Pear,5
2019-09-25,Pear,20
2019-11-04,Apple,3
2019-06-30,Peach,7
2019-06-01,Peach,1
2019-08-16,Banana,6
2019-04-29,Apple,26
2019-08-27,Banana,15
2019-09-06,Grape,3
2019-10-16,Grape,1
2019-05-28,Peach,24
2019-02-01,Peach,18
2019-08-01,Peach,10
2019-04-12,Apple,13
2019-10-02,Banana,9
2019-04-11,Peach,27
2019-11-01,Banana,12
2019-08-31,Pear,24
2019-08-27,Peach,5
2019-06-27,Grape,13
2019-10-20,Banana,3
2019-04-17,Grape,28
2019-09-07,Grape,16
2019-04-03,Pear,18
2019-04-26,Grape,1
2019-11-26,Grape,22
2019-03-15,Grape,14
2019-03-12,Grape,11
2019-12-24,Apple,22
2019-07-07,Apple,10
2019-03-17,Peach,27
2019-04-09,Grape,19
2019-12-03,Grape,27
2019-02-28,Pear,6
2019-12-12,Banana,22
2019-11-07,Grape,26
2019-11-16,Pear,6
2019-12-21,Peach,27
2019-03-07,Apple,5
2019-09-25,Pear,14
2019-12-12,Peach,17
2019-02-03,Peach,6
2019-01-14,Apple,22
2019-12-19,Banana,27
2019-11-05,Banana,16
2019-09-10,Grape,19
2019-01-07,Apple,18
2019-10-25,Peach,16
2019-04-19,Grape,13
2019-09-02,Apple,18
2019-06-15,Pear,1
2019-06-22,Banana,16
2019-03-24,Banana,16
2019-10-02,Pear,7
2019-03-08,Peach,21
2019-04-25,Banana,3
2019-09-25,Peach,10
2019-09-24,Grape,21
2019-02-23,Peach,17
2019-01-11,Banana,17
2019-06-15,Banana,13
2019-11-10,Banana,0
2019-12-24,Pear,29
2019-12-23,Peach,14
2019-04-19,Peach,21
2019-06-12,Banana,12
2019-08-10,Banana,20
2019-07-25,Peach,22
2019-06-24,Banana,0
2019-12-28,Grape,5
2019-02-21,Apple,24
2019-06-12,Peach,27
2019-05-31,Grape,19
2019-11-03,Pear,28
2019-03-20,Pear,1
2019-12-13,Grape,28
2019-05-10,Peach,5
2019-08-26,Peach,22
2019-02-12,Peach,17
2019-08-20,Peach,20
2019-09-06,Apple,10
2019-05-25,Peach,6
2019-05-05,Banana,14
2019-04-26,Pear,16
2019-04-01,Peach,25
2019-09-19,Pear,21
2019-05-14,Grape,20
2019-10-28,Banana,24
2019-11-04,Peach,15
2019-02-27,Grape,18
2019-09-06,Pear,25
2019-10-05,Apple,16
2019-11-21,Grape,21
2019-08-24,Peach,4
2019-10-27,Apple,24
2019-05-23,Peach,28
2019-01-21,Apple,21
2019-03-25,Apple,9
2019-01-24,Grape,21
2019-03-20,Pear,23
2019-10-21,Banana,16
2019-01-01,Peach,13
2019-02-03,Peach,2
2019-09-06,Peach,4
2019-06-07,Apple,5
2019-05-29,Peach,19
2019-03-21,Banana,9
2019-01-06,Peach,22
2019-12-19,Banana,10
2019-02-06,Pear,21
2019-09-25,Peach,27
2019-08-07,Grape,26
2019-06-09,Peach,13
2019-09-02,Apple,10
2019-11-21,Pear,12
2019-08-23,Apple,26
2019-06-01,Grape,7
2019-11-16,Peach,13
2019-03-21,Pear,2
2019-07-03,Peach,17
2019-07-22,Grape,16
2019-02-09,Banana,12
2019-02-26,Peach,8
2019-06-02,Peach,4
2019-09-22,Peach,7
2019-01-15,Apple,24
2019-10-24,Banana,15
2019-05-13,Peach,0
2019-02-05,Apple,0
2019-04-02,Apple,7
2019-04-18,Apple,16
2019-10-19,Grape,19
2019-04-11,Apple,7
2019-12-15,Grape,16
2019-12-04,Grape,23
2019-11-29,Peach,4
2019-12-12,Banana,19
2019-12-27,Apple,8
2019-01-14,Peach,18
2019-08-18,Peach,16
2019-11-23,Pear,16
2019-01-30,Grape,7
2019-11-26,Peach,13
2019-03-11,Pear,28
2019-10-15,Peach,20
2019-08-16,Banana,10
2019-11-19,Peach,5
2019-08-27,Pear,8
2019-03-20,Grape,29
2019-01-26,Grape,29
2019-05-02,Peach,27
2019-11-24,Banana,4
2019-11-10,Grape,13
2019-11-15,Pear,5
2019-05-21,Peach,6
2019-11-21,Grape,28
2019-01-07,Apple,24
2019-09-22,Grape,3
2019-10-26,Grape,1
2019-07-24,Peach,11
2019-01-01,Apple,15
2019-01-07,Apple,26
2019-10-12,Peach,12
2019-05-22,Pear,21
2019-09-12,Pear,7
2019-06-23,Grape,16
2019-01-18,Apple,4
2019-06-21,Grape,21
2019-06-12,Pear,11
2019-11-20,Pear,23
2019-01-09,Peach,20
2019-01-17,Pear,22
2019-05-14,Pear,24
2019-06-23,Grape,5
2019-03-05,Grape,1
2019-09-12,Grape,25
2019-09-11,Apple,21
2019-12-20,Peach,6
