ID号,识别码,类别
ID 000419,VmkIwpF,Q2
ID 000420,PaUqgdf,S2
ID 000421,TEQzqdV,Q2
ID 000422,NyNrNeF,Q2
ID 000423,DxCHqBn,Q1
ID 000424,VPqZCDF,S1
ID 000425,rajsGtR,Q2
ID 000426,HceMQGu,S1
ID 000427,TUgRpWN,Q2
ID 000428,KKSvelN,S1
ID 000429,gGrTCrO,S3
ID 000430,CUAxMFO,S2
ID 000431,qHfFxXy,S3
ID 000432,UXCBevm,Q2
ID 000433,hQVaBPX,S2
ID 000434,xzsmxAC,S3
ID 000435,mDSuHhs,Q2
ID 000436,cMCEBYw,S3
ID 000437,eRCnTlk,Q2
ID 000438,UTCiqeH,T2
ID 000439,ynbQwwk,Q2
ID 000440,vTDBgWd,Q2
ID 000441,GPhyrsy,S1
ID 000442,iwcvzPU,T1
ID 000443,QojHZGm,Q2
ID 000444,DaYrmiy,S1
ID 000445,teONSrk,T1
ID 000446,EhQujtx,T2
ID 000447,egOAgiL,Q2
ID 000448,FfxMoiJ,T2
ID 000449,LMteFXb,S1
ID 000450,ykAEDep,T2
ID 000451,gzUPbbM,Q1
ID 000452,OAECROj,S2
ID 000453,uIOpAHH,S3
ID 000454,chFxofi,T2
ID 000455,PZmjEqb,S2
ID 000456,JtazhOm,Q2
ID 000457,BKLRiHH,S1
ID 000458,bCzjbvJ,T1
ID 000459,HbjyrCN,S3
ID 000460,PgdqRoe,Q2
ID 000461,QokQPsC,Q1
ID 000462,gRCPeZn,S3
ID 000463,NIhwPsq,S2
ID 000464,ecgNZlc,T2
ID 000465,uMEKCLe,S2
ID 000466,cPzzWkz,T1
ID 000467,ccUgCWO,T2
ID 000468,ZDwyWNs,S1
ID 000469,SfFazMI,T1
ID 000470,hzGukgX,Q2
ID 000471,XWditpQ,S3
ID 000472,RQRPuzT,S1
ID 000473,AtakRfB,S1
ID 000474,ewejZKb,S1
ID 000475,JkpArBS,S2
ID 000476,eieOAJD,S3
ID 000477,veTJUCo,T2
ID 000478,sCwOqgx,Q2
ID 000479,cFRwAvm,T2
ID 000480,HAvscyH,T2
ID 000481,AYAeWgy,Q2
ID 000482,JOuHFhn,S2
ID 000483,JjQVtlx,T2
ID 000484,SyYoiJz,S3
ID 000485,pJsohhG,T2
ID 000486,UpxlNUM,Q2
ID 000487,YxMfIvO,S1
ID 000488,UiXVhVn,T2
ID 000489,LrmDYPb,S3
ID 000490,fhSFOfd,S3
ID 000491,doJRAFP,S2
ID 000492,jmJsacI,S3
ID 000493,xgwtGLf,T2
ID 000494,wLPBbNS,T2
ID 000495,rSIGurn,S1
ID 000496,HlyMkMI,S3
ID 000497,eKblvjn,Q2
ID 000498,QUBacWU,S2
ID 000499,QUUDOFN,S3
ID 000500,aZxwalj,Q1
ID 000501,XMsHyhl,S1
ID 000502,KLOwOHp,S2
ID 000503,NzRkrCK,S2
ID 000504,UXMcSoz,S3
ID 000505,IckIDuZ,S2
ID 000506,ZpgDqjv,T1
ID 000507,yGMLTGw,T1
ID 000508,UMGEJmc,S3
ID 000509,YYLRysI,Q2
ID 000510,qqPmpdg,S1
ID 000511,ZwPlJen,S1
ID 000512,duCaUwk,S2
ID 000513,yWlxWog,S3
ID 000514,wIRcmoH,S2
ID 000515,WicwMrq,Q1
ID 000516,ehesvjj,S3
ID 000517,hyVuyak,Q1
ID 000518,QURctGm,T2
ID 000519,JxYhNWf,Q2
ID 000520,UrYOJVY,Q1
ID 000521,UwkBIVt,S3
ID 000522,SIxmYYc,T1
ID 000523,TKAzFWl,Q2
ID 000524,FiHwHSd,S1
ID 000525,GPDByAA,S1
ID 000526,HjOjWZm,S2
ID 000527,hhpsJfU,T1
ID 000528,cOrLsxT,T2
ID 000529,KTGWPUx,Q2
ID 000530,MzFUkTT,T1
ID 000531,SlMNXYs,Q2
ID 000532,fEPyrtB,T2
ID 000533,FHQXasA,S1
ID 000534,JdipfPl,Q1
ID 000535,hoWtDFY,T1
ID 000536,UTKScHj,T1
ID 000537,slGtmFr,S3
ID 000538,TBIXhlJ,S2
ID 000539,znGsArV,S2
ID 000540,OwOWkfT,S3
ID 000541,pWcfGNH,S2
ID 000542,qzFqwUX,S3
ID 000543,DSWJozx,Q2
ID 000544,UpDUImD,S2
ID 000545,prDbEio,S1
ID 000546,EPjjUaK,Q1
ID 000547,WEmXyoj,S2
ID 000548,imtPQZb,Q2
ID 000549,qRdHokb,S1
ID 000550,bdPeHNz,S3
ID 000551,WDdmhSg,S2
ID 000552,fGKZEuu,Q2
ID 000553,wDNAzpB,T2
ID 000554,SNUhqBn,T1
ID 000555,IhfFmsR,S2
ID 000556,XOvsujv,Q1
ID 000557,AkKsHWN,Q2
ID 000558,RukOzVw,S3
ID 000559,brRpIMX,T2
ID 000560,ppAbRjz,T1
ID 000561,Fndmlqd,Q1
ID 000562,cUJeMae,S2
ID 000563,bomIoGD,S1
ID 000564,eAxdaHw,Q2
ID 000565,JKElKmP,S1
ID 000566,ZMrdUVm,S1
ID 000567,nDSdawF,S3
ID 000568,ZZRPKSm,Q1
ID 000569,qyrGVZF,S1
ID 000570,BeCIIgj,T2
ID 000571,dqBBuIv,T1
ID 000572,RVVqfRW,S3
ID 000573,cIcUBEi,S2
ID 000574,APPeEVu,S3
ID 000575,kjcjwNP,Q2
ID 000576,KJLexTW,S3
ID 000577,CMPlmcD,S2
ID 000578,cUOioLy,S3
ID 000579,ENGNnZP,S2
ID 000580,fLMOSdD,T2
ID 000581,xoPWuqx,T2
ID 000582,WPgSKqJ,S1
ID 000583,VuusIDT,T1
ID 000584,xheVJHU,S1
ID 000585,UFElGzE,S2
ID 000586,ixhyPcw,S2
ID 000587,iTkBNDs,S2
ID 000588,AxCJpfg,Q1
ID 000589,VUjqaFw,T2
ID 000590,eocGijg,S2
ID 000591,XZaqBip,Q1
ID 000592,KDszySG,S2
ID 000593,qcBSswS,T2
ID 000594,ZundZzn,S3
ID 000595,MZiBNso,S3
ID 000596,IBlQbBx,Q1
ID 000597,BkETmco,T2
ID 000598,jsquggW,S1
ID 000599,KdZWKcO,Q2
ID 000600,pjTfpmP,S3
ID 000601,wYsfpew,Q2
ID 000602,LQpOdvS,Q2
ID 000603,ByTusBE,T1
ID 000604,wflPGnN,T1
ID 000605,WjZhVjL,T2
ID 000606,PYRyHCX,S3
ID 000607,shDbKsP,Q1
ID 000608,fHjNEmA,T1
ID 000609,TeJBjNI,S1
ID 000610,tozZMbP,S3
ID 000611,dBKVZAb,T2
ID 000612,mEzmLmN,S3
ID 000613,mBtddDa,Q2
ID 000614,DINNcjJ,Q2
ID 000615,ntAKvWq,S1
ID 000616,HWlgkYo,T2
ID 000617,rrroBbt,T1
ID 000618,emDcfnl,Q2
ID 000619,aEcPqAP,S1
ID 000620,XXemzCU,S2
ID 000621,HXHfRMN,Q2
ID 000622,IjqWEOJ,S1
ID 000623,ZFzkZKR,S3
ID 000624,SZESWKF,S3
ID 000625,LFJYCmC,S2
ID 000626,WpKstEI,S3
ID 000627,pgajCjd,Q2
ID 000628,ATTmNMr,T1
ID 000629,JSsDDHz,T2
ID 000630,QQESqiT,T1
ID 000631,EYRUsKV,S3
ID 000632,SNuUtPt,Q2
ID 000633,YHbXdia,S1
ID 000634,NSTfWZt,Q1
ID 000635,iMzTcbX,S3
ID 000636,rPXoAZQ,T2
ID 000637,TiRzfNm,T1
ID 000638,AiUSHLH,S2
ID 000639,OzypsON,S2
ID 000640,LYsVEdQ,S3
ID 000641,KzYJQal,S3
ID 000642,lqDhiLF,S2
ID 000643,QtffnEY,Q2
ID 000644,PywedbP,S2
ID 000645,hYCOvfU,S2
ID 000646,ZUsnRdi,T2
ID 000647,jyzxprL,T1
ID 000648,xSfsoNs,S2
ID 000649,YYmgMAn,Q2
ID 000650,aAJPpqo,Q2
ID 000651,GGUnVdl,Q1
ID 000652,gmfNcqg,T1
ID 000653,xMUREYj,Q2
ID 000654,uTfBRYz,Q2
ID 000655,nuNJcnS,T1
ID 000656,GgGWzbB,Q2
ID 000657,rGucHSb,S2
ID 000658,xaNyhyS,Q2
ID 000659,hknyQnL,Q2
ID 000660,DbBqQDu,S2
ID 000661,kaoqvEn,T2
ID 000662,AHpDmHt,Q2
ID 000663,uMKzeby,S3
ID 000664,AOCPPbh,S3
ID 000665,zUupucE,T1
ID 000666,xInuYoa,S1
ID 000667,BLmabSk,Q2
ID 000668,OvqccKq,Q2
ID 000669,JhSxFop,Q2
ID 000670,RJlvrVg,Q1
ID 000671,CmDCdiQ,S3
ID 000672,HVYcuhv,Q1
ID 000673,CtYqdrM,S1
ID 000674,TZbIWuI,T1
ID 000675,DtuXowX,S3
ID 000676,EJqXkui,Q1
ID 000677,uifLeQS,S3
ID 000678,CEdkOzX,T1
ID 000679,yiArYMR,T1
ID 000680,OYBKipp,S1
ID 000681,ymoAqFc,Q1
ID 000682,Wcghvuf,T2
ID 000683,WxBUItC,Q2
ID 000684,mdlNogt,T1
ID 000685,vhCQioi,S2
ID 000686,qBWzGxx,S3
ID 000687,TcGixYq,S3
ID 000688,fbEMuvM,S2
ID 000689,XoBFPhJ,S2
ID 000690,FZBeUeu,S3
ID 000691,ixuObCD,S2
ID 000692,XtdmaJG,Q1
ID 000693,fVAHDBM,T1
ID 000694,NGNKgtB,S3
ID 000695,hisBsTC,Q1
ID 000696,enhuDVF,Q2
ID 000697,JZQkHhi,T2
ID 000698,ITlNAor,Q2
ID 000699,KmzVhHm,T2
ID 000700,wVEhdTO,T2
ID 000701,HUYsdio,S2
ID 000702,YaLwIAb,S1
ID 000703,SnpvCvz,S1
ID 000704,PeQFutx,Q1
ID 000705,qqWDZrw,S2
ID 000706,vbxTbvy,T2
ID 000707,jbuSIyT,S2
ID 000708,qcqElet,T2
ID 000709,gxhOHJP,T1
ID 000710,vgPYeok,S1
ID 000711,pfIPVGz,T2
ID 000712,kLjpjii,S1
ID 000713,tDcIpHy,S1
ID 000714,AcjfokD,T2
ID 000715,mdLfUuV,Q1
ID 000716,QQQYqOs,T1
ID 000717,iUzDUKE,T2
ID 000718,XSvGLAO,S1
ID 000719,mmqzvjX,S3
ID 000720,SqJjwvs,S1
ID 000721,WtGtOGD,S1
ID 000722,rRiENVf,T2
ID 000723,SwBhmKL,S1
ID 000724,EERVltI,S2
ID 000725,mFUGyoX,Q1
ID 000726,dusjFmH,S3
ID 000727,ukXXJiM,S2
ID 000728,mWpAFRh,T2
ID 000729,fUPlaEA,S2
ID 000730,QDYHMUJ,Q1
ID 000731,jeolYjt,T2
ID 000732,hddALgf,Q1
ID 000733,GeWgvvw,Q2
ID 000734,QIQARwE,Q2
ID 000735,KiwyBZD,S3
ID 000736,GEjBvkh,T2
ID 000737,gNmxyJL,S1
ID 000738,ugJIGnw,Q2
ID 000739,iuZmGLf,S2
ID 000740,NLemdXD,T2
ID 000741,rrAGCNi,Q1
ID 000742,EgbCIgJ,Q1
ID 000743,IPmlrCO,T2
ID 000744,exmiShh,Q2
ID 000745,wImHYIt,Q2
ID 000746,TSJhDui,T2
ID 000747,MiDEjrV,S2
ID 000748,XtzHiWj,Q1
ID 000749,uDXectX,S1
ID 000750,kTVVdgA,Q1
ID 000751,aomadjQ,Q1
ID 000752,chedcqL,S2
ID 000753,EORuLPa,T2
ID 000754,cWafqkG,Q1
ID 000755,ZBuSMxf,Q2
ID 000756,QptdIoZ,S3
ID 000757,nsAxyda,T2
ID 000758,grwRZOK,S3
ID 000759,VTvTBBZ,Q1
ID 000760,DxVrQdA,T2
ID 000761,GBDUUFE,T2
ID 000762,dJRvqYE,Q1
ID 000763,fFUxiPT,Q1
ID 000764,bdiJawL,S2
ID 000765,JZzVZgS,Q1
ID 000766,bwaGQjN,S3
ID 000767,RbacFFk,T1
ID 000768,pkNEaNv,T2
ID 000769,lYgWoGz,T1
ID 000770,AkjOWBM,S1
ID 000771,nYzmzBY,S3
ID 000772,xbaTvUi,S3
ID 000773,IaOZCBG,Q2
ID 000774,VdTSRIm,T1
ID 000775,keEgSfQ,S1
ID 000776,andiLYf,S1
ID 000777,gZBkacL,Q2
ID 000778,CbYwiSS,S2
ID 000779,ANmCnBF,S2
ID 000780,VUZLFkS,T1
ID 000781,rJuoitW,Q2
ID 000782,KPWeJZw,T1
ID 000783,JDTDQhS,S2
ID 000784,UHGVptk,S2
ID 000785,OghypQO,T2
ID 000786,wlQKIQh,S3
ID 000787,OywpJtJ,Q1
ID 000788,QhmHaZE,T1
ID 000789,wwLUNSq,Q1
ID 000790,hJlOxgm,T2
ID 000791,DnRFCGB,S2
ID 000792,vyRBAPB,Q2
ID 000793,yLfVCZZ,T2
ID 000794,jDYGfxh,T2
ID 000795,mGBSzPO,S3
ID 000796,ZFdvZWk,S3
ID 000797,LycaiYU,S2
ID 000798,NgizRPM,T2
ID 000799,WYbYUUY,Q1
ID 000800,hCWcahC,S2
ID 000801,XdMyOEx,Q2
ID 000802,mlvZRzr,S2
ID 000803,iehSuyU,T1
ID 000804,qQNenGI,Q2
ID 000805,SLKCPsr,T2
ID 000806,QkxlQPm,S1
ID 000807,dLgODQE,Q1
ID 000808,zUULAoQ,S2
ID 000809,JHgvvij,S3
ID 000810,wRRLZSg,S1
ID 000811,MkPWfCC,T1
ID 000812,oucHTqw,Q1
ID 000813,LFBvalZ,S2
ID 000814,EWABUqu,T1
ID 000815,DajfsLN,T1
ID 000816,NGDFexR,Q1
ID 000817,RJhCnBU,T1
ID 000818,FwYtCMv,T2
ID 000819,MeuEfoA,Q1
ID 000820,HnITYqI,Q1
ID 000821,dDFaHIn,T2
ID 000822,tTUYIML,Q1
ID 000823,zKwWmah,Q1
ID 000824,aJTtHuc,S1
ID 000825,tmdIpFr,T1
