Area,School,Course
area_4,school_125,course_75 course_4 course_15
area_3,school_163,course_28 course_15
area_3,school_49,course_25 course_64
area_1,school_261,course_31 course_6 course_51
area_1,school_365,course_74 course_38
area_2,school_361,course_26
area_2,school_29,course_59
area_1,school_308,course_62 course_39 course_72
area_1,school_130,course_45 course_73 course_26
area_2,school_220,course_64 course_96 course_2
area_2,school_21,course_98 course_25 course_65
area_2,school_328,course_7
area_2,school_309,course_58
area_2,school_188,course_78 course_2
area_3,school_350,course_42
area_1,school_319,course_57 course_75
area_2,school_345,course_20 course_50
area_2,school_171,course_20
area_3,school_233,course_87 course_8
area_4,school_346,course_84 course_16
area_3,school_280,course_87 course_77 course_78
area_3,school_27,course_54
area_1,school_306,course_79 course_40 course_55
area_2,school_294,course_53
area_4,school_37,course_7 course_95 course_50
area_1,school_255,course_26 course_96 course_84
area_2,school_170,course_75 course_68
area_3,school_235,course_68 course_29 course_77
area_3,school_155,course_54 course_34
area_3,school_182,course_44
area_4,school_91,course_18 course_34 course_89
area_2,school_52,course_39 course_93 course_41
area_3,school_332,course_4 course_23
area_2,school_263,course_23 course_60 course_2
area_3,school_236,course_99 course_94 course_13
area_2,school_61,course_14
area_3,school_352,course_99
area_4,school_199,course_1 course_40 course_9
area_1,school_145,course_61
area_3,school_266,course_22 course_63
area_4,school_316,course_30
area_1,school_319,course_71 course_26 course_16
area_2,school_98,course_35 course_78 course_89
area_1,school_42,course_76
area_2,school_21,course_26
area_2,school_168,course_20 course_90
area_3,school_151,course_57
area_4,school_284,course_48
area_4,school_12,course_81 course_83 course_8
area_2,school_152,course_95 course_86 course_38
area_3,school_24,course_64 course_87 course_78
area_3,school_241,course_10 course_85 course_25
area_3,school_323,course_57
area_1,school_252,course_57 course_32 course_2
area_2,school_242,course_94
area_2,school_216,course_33 course_28
area_3,school_315,course_59 course_4
area_2,school_139,course_36 course_91 course_64
area_3,school_357,course_45 course_49
area_1,school_252,course_28
area_2,school_171,course_81 course_73
area_3,school_144,course_17 course_24 course_4
area_4,school_355,course_90 course_85
area_4,school_65,course_32 course_29
area_4,school_37,course_80
area_2,school_194,course_58
area_3,school_31,course_29 course_99 course_70
area_3,school_256,course_9
area_1,school_260,course_39
area_3,school_167,course_43 course_20 course_28
area_3,school_323,course_39 course_3 course_54
area_3,school_357,course_51 course_76
area_2,school_112,course_36 course_23 course_46
area_3,school_336,course_40 course_43
area_3,school_323,course_11 course_95
area_4,school_63,course_4
area_2,school_58,course_17 course_38 course_87
area_2,school_258,course_51
area_2,school_21,course_55 course_44
area_2,school_75,course_7 course_23
area_2,school_268,course_49 course_70
area_2,school_204,course_65 course_68
area_2,school_351,course_23 course_24
area_4,school_316,course_52 course_57
area_3,school_151,course_52 course_21
area_3,school_357,course_25 course_75 course_57
area_3,school_143,course_26
area_2,school_134,course_39
area_2,school_172,course_21
area_3,school_336,course_75 course_31 course_24
area_3,school_55,course_79
area_4,school_4,course_10 course_47 course_74
area_1,school_119,course_34 course_29 course_22
area_2,school_58,course_86
area_3,school_118,course_20 course_40
area_2,school_38,course_46 course_99 course_64
area_4,school_125,course_10 course_52 course_97
area_4,school_316,course_51
area_3,school_282,course_89 course_58
area_3,school_200,course_58 course_86 course_94
area_2,school_217,course_23 course_98
area_3,school_338,course_74 course_10
area_3,school_201,course_59 course_43 course_67
area_2,school_304,course_75 course_84 course_76
area_3,school_201,course_14
area_1,school_190,course_85 course_18 course_41
area_2,school_340,course_78 course_52 course_3
area_2,school_56,course_32 course_80 course_2
area_4,school_358,course_14 course_24
area_2,school_168,course_11 course_15
area_4,school_76,course_79 course_24 course_82
area_3,school_68,course_87 course_42
area_3,school_78,course_88 course_41 course_78
area_3,school_110,course_14
area_1,school_317,course_35 course_84 course_8
area_4,school_325,course_20
area_2,school_170,course_63
area_4,school_113,course_40 course_78 course_45
area_1,school_248,course_64 course_65 course_26
area_2,school_13,course_52 course_24 course_66
area_3,school_314,course_100 course_82
area_3,school_153,course_45 course_66 course_28
area_3,school_25,course_22
area_4,school_125,course_55 course_42 course_86
area_1,school_306,course_20
area_3,school_96,course_85 course_84
area_3,school_257,course_52 course_70
area_2,school_71,course_88 course_47
area_3,school_30,course_43 course_10 course_3
area_3,school_201,course_35
area_4,school_105,course_32 course_35 course_62
area_3,school_256,course_28 course_40
area_2,school_172,course_33 course_46
area_3,school_115,course_94 course_60
area_3,school_80,course_93
area_4,school_296,course_72 course_100
area_3,school_298,course_85 course_22 course_39
area_4,school_128,course_16 course_45 course_31
area_2,school_304,course_72
area_2,school_38,course_5 course_10
area_4,school_88,course_89 course_3
area_2,school_303,course_89 course_25 course_8
area_1,school_320,course_100
area_2,school_15,course_99
area_3,school_332,course_62
area_4,school_199,course_59
area_3,school_253,course_36 course_69
area_3,school_336,course_37 course_62 course_52
area_2,school_122,course_92 course_55 course_4
area_3,school_330,course_35 course_64
area_4,school_4,course_2
area_4,school_63,course_33 course_2
area_2,school_197,course_8 course_67 course_75
area_3,school_34,course_17 course_26 course_9
area_1,school_308,course_80
area_2,school_77,course_53
area_1,school_231,course_14 course_16 course_88
area_2,school_301,course_24
area_1,school_183,course_6 course_93
area_2,school_171,course_50
area_3,school_120,course_48
area_2,school_57,course_1 course_86
area_2,school_341,course_45 course_52
area_3,school_82,course_64 course_72 course_39
area_3,school_352,course_25 course_95 course_66
area_2,school_87,course_15
area_4,school_180,course_24 course_19
area_3,school_236,course_22 course_37 course_84
area_3,school_359,course_18 course_9
area_4,school_128,course_9 course_60
area_4,school_83,course_12
area_4,school_325,course_43 course_9 course_16
area_3,school_357,course_44
area_3,school_167,course_36 course_80 course_34
area_3,school_64,course_93 course_84
area_3,school_273,course_5 course_48
area_3,school_350,course_92 course_21 course_57
area_3,school_103,course_7
area_2,school_217,course_42 course_41 course_2
area_3,school_338,course_13
area_2,school_194,course_9
area_3,school_117,course_51
area_1,school_248,course_54 course_16 course_55
area_3,school_11,course_25 course_37 course_20
area_4,school_125,course_39
area_3,school_31,course_69 course_45
area_2,school_92,course_44 course_47
area_2,school_166,course_94 course_65
area_2,school_328,course_85
area_4,school_243,course_91 course_56
area_3,school_209,course_31 course_81 course_92
area_4,school_195,course_98 course_83 course_69
area_3,school_330,course_68 course_22 course_46
area_3,school_334,course_13 course_17 course_71
area_4,school_305,course_100 course_47 course_29
area_1,school_255,course_79 course_20
area_1,school_272,course_15
area_4,school_3,course_1 course_34
area_2,school_240,course_60
area_2,school_161,course_93
area_2,school_161,course_24
area_4,school_296,course_7 course_35
area_3,school_140,course_57 course_77 course_3
area_3,school_110,course_74 course_68 course_55
area_3,school_35,course_59
area_4,school_355,course_36 course_67 course_79
area_2,school_61,course_21
area_1,school_362,course_90 course_42 course_68
area_1,school_129,course_14
area_2,school_48,course_99 course_67
area_3,school_312,course_66
area_3,school_120,course_26 course_76 course_1
area_4,school_2,course_59 course_7
area_2,school_168,course_83 course_75 course_95
area_2,school_361,course_45
area_1,school_7,course_83 course_18
area_1,school_306,course_10
area_3,school_219,course_56 course_59 course_36
area_4,school_41,course_55 course_30
area_2,school_351,course_71 course_51 course_3
area_3,school_163,course_80 course_13 course_71
area_2,school_29,course_63 course_92
area_1,school_306,course_16
area_2,school_205,course_30 course_14 course_94
area_3,school_326,course_83 course_79
area_2,school_230,course_77 course_30
area_2,school_33,course_6 course_99 course_89
area_3,school_25,course_31 course_69
area_4,school_125,course_93 course_40 course_24
area_3,school_156,course_34 course_64
area_4,school_19,course_75 course_33
area_4,school_19,course_19
area_2,school_206,course_8
area_3,school_59,course_33 course_96 course_26
area_3,school_360,course_2
area_3,school_225,course_59 course_24
area_1,school_344,course_29
area_2,school_56,course_7
area_3,school_78,course_43 course_72 course_94
area_3,school_360,course_64
area_2,school_223,course_40
area_3,school_165,course_75 course_25 course_42
area_2,school_303,course_55
area_1,school_281,course_71
area_3,school_307,course_79
area_4,school_276,course_61 course_58 course_69
area_4,school_278,course_55 course_4
area_3,school_151,course_54 course_96
area_4,school_88,course_32 course_88
area_2,school_170,course_66
area_2,school_21,course_77 course_63 course_5
area_1,school_317,course_8
area_3,school_334,course_4
area_1,school_320,course_100
area_2,school_216,course_8 course_7 course_87
area_3,school_118,course_17
area_2,school_44,course_52 course_76
area_2,school_53,course_85 course_17
area_3,school_147,course_10 course_39
area_4,school_113,course_29 course_52
area_2,school_21,course_93 course_60
area_2,school_197,course_64 course_89
area_2,school_188,course_67
area_3,school_137,course_21 course_53 course_92
area_3,school_339,course_6 course_88 course_10
area_3,school_31,course_100
area_1,school_248,course_30 course_29 course_38
area_3,school_31,course_4 course_16 course_73
area_3,school_179,course_67
area_2,school_294,course_55 course_36
area_4,school_176,course_31 course_98
area_3,school_93,course_26 course_74 course_30
area_3,school_82,course_64
area_1,school_292,course_1 course_11
area_4,school_169,course_81
area_3,school_55,course_12 course_28
area_4,school_23,course_96 course_7 course_95
area_3,school_269,course_39
area_1,school_159,course_56 course_53 course_93
area_2,school_204,course_57 course_7
area_2,school_89,course_72 course_75 course_32
area_2,school_13,course_64
area_2,school_345,course_74 course_10 course_94
area_1,school_67,course_1
area_3,school_47,course_72 course_58 course_56
area_2,school_152,course_27
area_2,school_18,course_75 course_11 course_46
area_3,school_327,course_35 course_3
area_2,school_61,course_23
area_3,school_167,course_65 course_90 course_62
area_3,school_158,course_12 course_95
area_3,school_31,course_30 course_87 course_58
area_4,school_284,course_42 course_39
area_3,school_349,course_33 course_27 course_57
area_4,school_278,course_21
area_4,school_265,course_73 course_52 course_28
area_3,school_31,course_7 course_38
area_1,school_67,course_25 course_32
area_1,school_248,course_75 course_25
area_2,school_18,course_55 course_53 course_90
area_3,school_254,course_52 course_99
area_4,school_76,course_23 course_43 course_100
area_3,school_257,course_8 course_94 course_40
area_2,school_262,course_38 course_9
area_3,school_25,course_74 course_6
area_4,school_85,course_8 course_27
area_3,school_218,course_8
area_3,school_352,course_58
area_2,school_104,course_49 course_5
area_4,school_113,course_26
area_2,school_229,course_19 course_93
area_4,school_355,course_73 course_81 course_89
area_1,school_67,course_39
area_2,school_258,course_9
area_3,school_155,course_2
area_2,school_62,course_21 course_71
area_4,school_299,course_5 course_76 course_96
area_3,school_49,course_10 course_38
area_2,school_318,course_57 course_71 course_73
area_3,school_280,course_88
area_3,school_11,course_94 course_43 course_85
area_2,school_242,course_44 course_23
area_4,school_9,course_73
area_4,school_63,course_91 course_30 course_13
area_3,school_151,course_61
area_3,school_82,course_72 course_45
area_3,school_100,course_69 course_9
area_2,school_21,course_75 course_67 course_22
area_3,school_234,course_90
area_3,school_280,course_52
area_2,school_48,course_87 course_11
area_4,school_154,course_41 course_53 course_55
area_2,school_53,course_60 course_79 course_22
area_2,school_193,course_9 course_68 course_41
area_3,school_153,course_57 course_29 course_53
area_2,school_58,course_68 course_7
area_3,school_35,course_6 course_18 course_79
area_2,school_258,course_15 course_28 course_64
area_3,school_332,course_3 course_88 course_18
area_1,school_67,course_27 course_83
area_2,school_123,course_69 course_76
area_3,school_279,course_54
area_1,school_181,course_84
area_2,school_40,course_47 course_61 course_77
area_3,school_137,course_52 course_23 course_51
area_1,school_181,course_38 course_76
area_3,school_282,course_44 course_38 course_78
area_1,school_317,course_53
area_4,school_278,course_4 course_58
area_3,school_35,course_49 course_57
area_4,school_141,course_53 course_19
area_3,school_100,course_4 course_63
area_3,school_354,course_48 course_76
area_4,school_41,course_54
area_3,school_347,course_51
area_3,school_264,course_4 course_59 course_60
area_4,school_247,course_72
area_4,school_148,course_67 course_87 course_53
area_3,school_103,course_99
area_1,school_26,course_4
area_3,school_256,course_34 course_22
area_2,school_28,course_30 course_75
area_1,school_226,course_20 course_83 course_33
area_1,school_319,course_12 course_24
area_2,school_221,course_5
area_2,school_75,course_21 course_40
area_3,school_336,course_75
area_4,school_39,course_13 course_61
area_3,school_264,course_54
area_2,school_246,course_13 course_58 course_23
area_1,school_214,course_46
area_3,school_273,course_32 course_34
area_2,school_205,course_27 course_96
area_3,school_234,course_57 course_53 course_16
area_4,school_284,course_81 course_18 course_39
area_3,school_45,course_90
area_2,school_162,course_85 course_47 course_74
area_3,school_144,course_79 course_26 course_31
area_3,school_236,course_70
area_4,school_276,course_37 course_50 course_21
area_3,school_155,course_64
area_2,school_228,course_80 course_6
area_4,school_355,course_89
area_2,school_1,course_9 course_90
area_3,school_264,course_65
area_1,school_252,course_93 course_30 course_26
area_1,school_281,course_95 course_71
area_2,school_89,course_70
area_2,school_161,course_74
area_1,school_146,course_4
area_3,school_337,course_65
area_2,school_367,course_64
area_3,school_55,course_59 course_75 course_31
area_2,school_112,course_95
area_3,school_82,course_65 course_39 course_27
area_4,school_300,course_65
area_1,school_308,course_30
area_3,school_101,course_22 course_59 course_25
area_2,school_77,course_34 course_14
area_2,school_29,course_82
area_4,school_148,course_7 course_25 course_38
area_3,school_14,course_14 course_30
area_1,school_121,course_69 course_98 course_77
area_3,school_156,course_12 course_22
area_3,school_225,course_67 course_5
area_3,school_314,course_14
area_4,school_37,course_93
area_3,school_200,course_82 course_100 course_42
area_3,school_333,course_46 course_33
area_4,school_278,course_89
area_2,school_345,course_96 course_99 course_36
area_2,school_28,course_3 course_98
area_3,school_270,course_93 course_10
area_3,school_149,course_61 course_57
area_3,school_360,course_92 course_43 course_91
area_4,school_83,course_18
area_3,school_332,course_29 course_58 course_79
area_3,school_357,course_59 course_21
area_2,school_268,course_35 course_83
area_3,school_256,course_14 course_92
area_3,school_273,course_62 course_61
area_2,school_329,course_47 course_8
area_2,school_313,course_22 course_42 course_13
area_2,school_227,course_16 course_8
area_4,school_128,course_53 course_59 course_93
area_1,school_248,course_87 course_67
area_2,school_262,course_52 course_64
area_2,school_204,course_35 course_58
area_1,school_281,course_54 course_43
area_2,school_331,course_66 course_71 course_14
area_2,school_112,course_32 course_100 course_9
area_4,school_76,course_23 course_14
area_2,school_251,course_78 course_76 course_37
area_2,school_345,course_46
area_2,school_220,course_56
area_3,school_236,course_51 course_28
area_3,school_137,course_3 course_75 course_33
area_3,school_47,course_2
area_3,school_314,course_14 course_24 course_3
area_3,school_280,course_56
area_3,school_27,course_17 course_84 course_64
area_2,school_21,course_30 course_39 course_72
area_1,school_248,course_94 course_72 course_98
area_3,school_100,course_46 course_58 course_28
area_3,school_266,course_42
area_3,school_207,course_57 course_30 course_53
area_4,school_343,course_32 course_95
area_2,school_79,course_43 course_96 course_52
area_3,school_25,course_99 course_31 course_65
area_4,school_296,course_54 course_34 course_90
area_1,school_67,course_51
area_2,school_303,course_84 course_81
area_1,school_214,course_31 course_78
area_1,school_308,course_87 course_8 course_76
area_3,school_337,course_98 course_82
area_3,school_165,course_88 course_31
area_4,school_19,course_79
area_4,school_277,course_54 course_99
area_2,school_171,course_24 course_90
area_3,school_110,course_22 course_53
area_1,school_16,course_8 course_9
area_2,school_58,course_44 course_74 course_85
area_2,school_126,course_7
area_4,school_295,course_31 course_35 course_26
area_1,school_289,course_6
area_3,school_270,course_52 course_47 course_22
area_1,school_308,course_87 course_39 course_38
area_3,school_279,course_76 course_45 course_81
area_4,school_3,course_100
area_2,school_71,course_63
area_1,school_365,course_92
area_3,school_36,course_83
area_2,school_32,course_94
area_3,school_209,course_48 course_20 course_38
area_1,school_121,course_26 course_54
area_4,school_169,course_82 course_99
area_1,school_142,course_24
area_2,school_62,course_56 course_3
area_4,school_177,course_85 course_14
area_4,school_2,course_68 course_40
area_2,school_251,course_64 course_39
area_2,school_61,course_40 course_76
area_3,school_27,course_1 course_85
area_3,school_120,course_45 course_66 course_83
area_3,school_149,course_94 course_67 course_58
area_3,school_282,course_30 course_51 course_100
area_3,school_14,course_36 course_43
area_2,school_170,course_40
area_4,school_325,course_55 course_41 course_51
area_4,school_300,course_82 course_85
area_3,school_333,course_12 course_99
area_3,school_282,course_1
area_4,school_12,course_98 course_62 course_55
area_3,school_219,course_21 course_95 course_1
area_3,school_354,course_54
area_1,school_261,course_99
area_4,school_76,course_84
area_4,school_60,course_38 course_87 course_76
area_2,school_249,course_3
area_3,school_222,course_25 course_80 course_86
area_2,school_166,course_56 course_84
area_3,school_46,course_68 course_94 course_97
area_3,school_232,course_39
area_2,school_5,course_31
area_3,school_338,course_62 course_31
area_1,school_281,course_99 course_88 course_51
area_3,school_106,course_7 course_23 course_48
area_4,school_210,course_50 course_94
area_1,school_121,course_47
area_3,school_86,course_97
area_2,school_361,course_21 course_38
area_2,school_48,course_79 course_40 course_14
area_3,school_348,course_65
area_3,school_175,course_12
area_2,school_186,course_60 course_51
area_2,school_186,course_77 course_89
area_3,school_55,course_26
area_2,school_258,course_75 course_3
area_3,school_215,course_60
area_3,school_339,course_26 course_43
area_3,school_266,course_68 course_61
area_1,school_16,course_75 course_26
area_2,school_301,course_3
area_4,school_176,course_69 course_6
area_3,school_348,course_49 course_40 course_64
area_3,school_17,course_49 course_27
area_3,school_24,course_77
area_3,school_315,course_82
area_3,school_82,course_36
area_1,school_146,course_43
area_1,school_224,course_58 course_10
area_3,school_25,course_61 course_78 course_5
area_2,school_139,course_66 course_74
area_1,school_353,course_55 course_63 course_65
area_2,school_223,course_87
area_1,school_320,course_60 course_13 course_37
area_3,school_357,course_15 course_34
area_2,school_97,course_11 course_85
area_1,school_95,course_23
area_4,school_19,course_81
area_4,school_277,course_77 course_28
area_3,school_347,course_28 course_13
area_4,school_88,course_57
area_2,school_187,course_24 course_93
area_3,school_106,course_15
area_3,school_102,course_2
area_3,school_100,course_45 course_25 course_62
area_1,school_185,course_78
area_3,school_256,course_50 course_10 course_2
area_2,school_56,course_82 course_58 course_10
